,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,0.0,,,,,0.0,0.0,0.0
1,,11.0,,,,11.0,8.0,72.72727272727273
2,,,2.0,,,2.0,0.0,0.0
3,,,,0.0,,0.0,0.0,0.0
4,,,,,3.0,3.0,2.0,66.66666666666666
5,0.0,11.0,,,,11.0,0.0,0.0
6,0.0,,2.0,,,2.0,0.0,0.0
7,0.0,,,0.0,,0.0,0.0,0.0
8,0.0,,,,3.0,3.0,0.0,0.0
9,,11.0,2.0,,,13.0,2.0,15.384615384615385
10,,11.0,,0.0,,11.0,0.0,0.0
11,,11.0,,,3.0,14.0,1.0,7.142857142857142
12,,,2.0,0.0,,2.0,0.0,0.0
13,,,2.0,,3.0,5.0,0.0,0.0
14,,,,0.0,3.0,3.0,0.0,0.0
15,0.0,11.0,2.0,,,13.0,0.0,0.0
16,0.0,11.0,,0.0,,11.0,0.0,0.0
17,0.0,11.0,,,3.0,14.0,0.0,0.0
18,0.0,,2.0,0.0,,2.0,0.0,0.0
19,0.0,,2.0,,3.0,5.0,0.0,0.0
20,0.0,,,0.0,3.0,3.0,0.0,0.0
21,,11.0,2.0,0.0,,13.0,0.0,0.0
22,,11.0,2.0,,3.0,16.0,0.0,0.0
23,,11.0,,0.0,3.0,14.0,0.0,0.0
24,,,2.0,0.0,3.0,5.0,0.0,0.0
25,0.0,11.0,2.0,0.0,,13.0,0.0,0.0
26,0.0,11.0,2.0,,3.0,16.0,0.0,0.0
27,0.0,11.0,,0.0,3.0,14.0,0.0,0.0
28,0.0,,2.0,0.0,3.0,5.0,0.0,0.0
29,,11.0,2.0,0.0,3.0,16.0,0.0,0.0
30,0.0,11.0,2.0,0.0,3.0,16.0,0.0,0.0
