,Motif,Observed,Expected
0,,0.0,0
1,rsp,0.0,0
2,pm,8.0,0
3,am,0.0,0
4,al,0.0,0
5,lm,2.0,0
6,rsp+pm,0.0,0
7,rsp+am,0.0,0
8,rsp+al,0.0,0
9,rsp+lm,0.0,0
10,pm+am,2.0,0
11,pm+al,0.0,0
12,pm+lm,1.0,0
13,am+al,0.0,0
14,am+lm,0.0,0
15,al+lm,0.0,0
16,rsp+pm+am,0.0,0
17,rsp+pm+al,0.0,0
18,rsp+pm+lm,0.0,0
19,rsp+am+al,0.0,0
20,rsp+am+lm,0.0,0
21,rsp+al+lm,0.0,0
22,pm+am+al,0.0,0
23,pm+am+lm,0.0,0
24,pm+al+lm,0.0,0
25,am+al+lm,0.0,0
26,rsp+pm+am+al,0.0,0
27,rsp+pm+am+lm,0.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,0.0,0
30,pm+am+al+lm,0.0,0
31,rsp+pm+am+al+lm,0.0,0
