,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,20.0,,,,,20.0,5.0,25.0
1,,77.0,,,,77.0,22.0,28.57142857142857
2,,,120.0,,,120.0,48.0,40.0
3,,,,30.0,,30.0,2.0,6.666666666666667
4,,,,,203.0,203.0,104.0,51.231527093596064
5,20.0,77.0,,,,97.0,2.0,2.0618556701030926
6,20.0,,120.0,,,140.0,1.0,0.7142857142857143
7,20.0,,,30.0,,50.0,0.0,0.0
8,20.0,,,,203.0,223.0,4.0,1.7937219730941705
9,,77.0,120.0,,,197.0,16.0,8.121827411167512
10,,77.0,,30.0,,107.0,0.0,0.0
11,,77.0,,,203.0,280.0,18.0,6.428571428571428
12,,,120.0,30.0,,150.0,2.0,1.3333333333333335
13,,,120.0,,203.0,323.0,35.0,10.8359133126935
14,,,,30.0,203.0,233.0,17.0,7.296137339055794
15,20.0,77.0,120.0,,,217.0,0.0,0.0
16,20.0,77.0,,30.0,,127.0,0.0,0.0
17,20.0,77.0,,,203.0,300.0,4.0,1.3333333333333335
18,20.0,,120.0,30.0,,170.0,0.0,0.0
19,20.0,,120.0,,203.0,343.0,0.0,0.0
20,20.0,,,30.0,203.0,253.0,1.0,0.3952569169960474
21,,77.0,120.0,30.0,,227.0,0.0,0.0
22,,77.0,120.0,,203.0,400.0,9.0,2.25
23,,77.0,,30.0,203.0,310.0,2.0,0.6451612903225806
24,,,120.0,30.0,203.0,353.0,5.0,1.41643059490085
25,20.0,77.0,120.0,30.0,,247.0,0.0,0.0
26,20.0,77.0,120.0,,203.0,420.0,3.0,0.7142857142857143
27,20.0,77.0,,30.0,203.0,330.0,0.0,0.0
28,20.0,,120.0,30.0,203.0,373.0,0.0,0.0
29,,77.0,120.0,30.0,203.0,430.0,1.0,0.23255813953488372
30,20.0,77.0,120.0,30.0,203.0,450.0,0.0,0.0
