,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,0.0,,,,,0.0,0.0,0.0
1,,9.0,,,,9.0,4.0,44.44444444444444
2,,,5.0,,,5.0,0.0,0.0
3,,,,1.0,,1.0,1.0,100.0
4,,,,,56.0,56.0,52.0,92.85714285714286
5,0.0,9.0,,,,9.0,0.0,0.0
6,0.0,,5.0,,,5.0,0.0,0.0
7,0.0,,,1.0,,1.0,0.0,0.0
8,0.0,,,,56.0,56.0,0.0,0.0
9,,9.0,5.0,,,14.0,2.0,14.285714285714285
10,,9.0,,1.0,,10.0,0.0,0.0
11,,9.0,,,56.0,65.0,1.0,1.5384615384615385
12,,,5.0,1.0,,6.0,0.0,0.0
13,,,5.0,,56.0,61.0,1.0,1.639344262295082
14,,,,1.0,56.0,57.0,0.0,0.0
15,0.0,9.0,5.0,,,14.0,0.0,0.0
16,0.0,9.0,,1.0,,10.0,0.0,0.0
17,0.0,9.0,,,56.0,65.0,0.0,0.0
18,0.0,,5.0,1.0,,6.0,0.0,0.0
19,0.0,,5.0,,56.0,61.0,0.0,0.0
20,0.0,,,1.0,56.0,57.0,0.0,0.0
21,,9.0,5.0,1.0,,15.0,0.0,0.0
22,,9.0,5.0,,56.0,70.0,2.0,2.857142857142857
23,,9.0,,1.0,56.0,66.0,0.0,0.0
24,,,5.0,1.0,56.0,62.0,0.0,0.0
25,0.0,9.0,5.0,1.0,,15.0,0.0,0.0
26,0.0,9.0,5.0,,56.0,70.0,0.0,0.0
27,0.0,9.0,,1.0,56.0,66.0,0.0,0.0
28,0.0,,5.0,1.0,56.0,62.0,0.0,0.0
29,,9.0,5.0,1.0,56.0,71.0,0.0,0.0
30,0.0,9.0,5.0,1.0,56.0,71.0,0.0,0.0
