Motif,Observed,Expected
rsp,28.0,51
pm,67.0,51
am,144.0,51
al,207.0,51
lm,300.0,51
rsp+pm,6.0,12
rsp+am,12.0,12
rsp+al,3.0,12
rsp+lm,8.0,12
pm+am,45.0,12
pm+al,2.0,12
pm+lm,24.0,12
am+al,14.0,12
am+lm,44.0,12
al+lm,39.0,12
rsp+pm+am,4.0,3
rsp+pm+al,0.0,3
rsp+pm+lm,4.0,3
rsp+am+al,1.0,3
rsp+am+lm,2.0,3
rsp+al+lm,2.0,3
pm+am+al,1.0,3
pm+am+lm,14.0,3
pm+al+lm,2.0,3
am+al+lm,9.0,3
rsp+pm+am+al,0.0,0
rsp+pm+am+lm,5.0,0
rsp+pm+al+lm,0.0,0
rsp+am+al+lm,1.0,0
pm+am+al+lm,1.0,0
rsp+pm+am+al+lm,1.0,0
