Motif,Observed,Expected
rsp,8.0,12
pm,29.0,12
am,33.0,12
al,17.0,12
lm,83.0,12
rsp+pm,4.0,3
rsp+am,3.0,3
rsp+al,2.0,3
rsp+lm,1.0,3
pm+am,25.0,3
pm+al,2.0,3
pm+lm,3.0,3
am+al,1.0,3
am+lm,3.0,3
al+lm,10.0,3
rsp+pm+am,4.0,0
rsp+pm+al,0.0,0
rsp+pm+lm,0.0,0
rsp+am+al,0.0,0
rsp+am+lm,0.0,0
rsp+al+lm,0.0,0
pm+am+al,1.0,0
pm+am+lm,3.0,0
pm+al+lm,0.0,0
am+al+lm,1.0,0
rsp+pm+am+al,0.0,0
rsp+pm+am+lm,2.0,0
rsp+pm+al+lm,0.0,0
rsp+am+al+lm,0.0,0
pm+am+al+lm,0.0,0
rsp+pm+am+al+lm,1.0,0
