,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,31.0,,,,,31.0,14.0,45.16129032258064
1,,4.0,,,,4.0,4.0,100.0
2,,,94.0,,,94.0,63.0,67.02127659574468
3,,,,217.0,,217.0,187.0,86.17511520737328
4,,,,,86.0,86.0,59.0,68.6046511627907
5,31.0,4.0,,,,35.0,0.0,0.0
6,31.0,,94.0,,,125.0,8.0,6.4
7,31.0,,,217.0,,248.0,1.0,0.4032258064516129
8,31.0,,,,86.0,117.0,3.0,2.564102564102564
9,,4.0,94.0,,,98.0,0.0,0.0
10,,4.0,,217.0,,221.0,0.0,0.0
11,,4.0,,,86.0,90.0,0.0,0.0
12,,,94.0,217.0,,311.0,11.0,3.536977491961415
13,,,94.0,,86.0,180.0,5.0,2.7777777777777777
14,,,,217.0,86.0,303.0,12.0,3.9603960396039604
15,31.0,4.0,94.0,,,129.0,0.0,0.0
16,31.0,4.0,,217.0,,252.0,0.0,0.0
17,31.0,4.0,,,86.0,121.0,0.0,0.0
18,31.0,,94.0,217.0,,342.0,1.0,0.29239766081871343
19,31.0,,94.0,,86.0,211.0,2.0,0.9478672985781991
20,31.0,,,217.0,86.0,334.0,1.0,0.29940119760479045
21,,4.0,94.0,217.0,,315.0,0.0,0.0
22,,4.0,94.0,,86.0,184.0,0.0,0.0
23,,4.0,,217.0,86.0,307.0,0.0,0.0
24,,,94.0,217.0,86.0,397.0,3.0,0.7556675062972292
25,31.0,4.0,94.0,217.0,,346.0,0.0,0.0
26,31.0,4.0,94.0,,86.0,215.0,0.0,0.0
27,31.0,4.0,,217.0,86.0,338.0,0.0,0.0
28,31.0,,94.0,217.0,86.0,428.0,1.0,0.23364485981308408
29,,4.0,94.0,217.0,86.0,401.0,0.0,0.0
30,31.0,4.0,94.0,217.0,86.0,432.0,0.0,0.0
