,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,25.0,,,,,25.0,8.0,32.0
1,,74.0,,,,74.0,29.0,39.189189189189186
2,,,77.0,,,77.0,33.0,42.857142857142854
3,,,,35.0,,35.0,17.0,48.57142857142857
4,,,,,107.0,107.0,83.0,77.57009345794393
5,25.0,74.0,,,,99.0,4.0,4.040404040404041
6,25.0,,77.0,,,102.0,3.0,2.941176470588235
7,25.0,,,35.0,,60.0,2.0,3.3333333333333335
8,25.0,,,,107.0,132.0,1.0,0.7575757575757576
9,,74.0,77.0,,,151.0,25.0,16.55629139072848
10,,74.0,,35.0,,109.0,2.0,1.834862385321101
11,,74.0,,,107.0,181.0,3.0,1.6574585635359116
12,,,77.0,35.0,,112.0,1.0,0.8928571428571428
13,,,77.0,,107.0,184.0,3.0,1.6304347826086956
14,,,,35.0,107.0,142.0,10.0,7.042253521126761
15,25.0,74.0,77.0,,,176.0,4.0,2.272727272727273
16,25.0,74.0,,35.0,,134.0,0.0,0.0
17,25.0,74.0,,,107.0,206.0,0.0,0.0
18,25.0,,77.0,35.0,,137.0,0.0,0.0
19,25.0,,77.0,,107.0,209.0,0.0,0.0
20,25.0,,,35.0,107.0,167.0,0.0,0.0
21,,74.0,77.0,35.0,,186.0,1.0,0.5376344086021506
22,,74.0,77.0,,107.0,258.0,3.0,1.1627906976744187
23,,74.0,,35.0,107.0,216.0,0.0,0.0
24,,,77.0,35.0,107.0,219.0,1.0,0.45662100456621
25,25.0,74.0,77.0,35.0,,211.0,0.0,0.0
26,25.0,74.0,77.0,,107.0,283.0,2.0,0.7067137809187279
27,25.0,74.0,,35.0,107.0,241.0,0.0,0.0
28,25.0,,77.0,35.0,107.0,244.0,0.0,0.0
29,,74.0,77.0,35.0,107.0,293.0,0.0,0.0
30,25.0,74.0,77.0,35.0,107.0,318.0,1.0,0.3144654088050315
