Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,0.8036418805023046,0.0,1.0,0,4
['rsp'],0.0,0,0.8036418805023046,-0.7498126112382667,1.0,1,4
['pm'],8.0,0,0.8036418805023046,2.4201123902040456,5.789441159244823e-08,1,1
['am'],0.0,0,0.8036418805023046,-0.7498126112382667,1.0,1,4
['al'],0.0,0,0.8036418805023046,-0.7498126112382667,1.0,1,4
['lm'],2.0,0,0.8036418805023046,0.8351498894828894,0.14630619457971278,1,3
"['rsp', 'pm']",0.0,0,0.41007342879791675,-0.22699378559937045,1.0,2,4
"['rsp', 'am']",0.0,0,0.41007342879791675,-0.22699378559937045,1.0,2,4
"['rsp', 'al']",0.0,0,0.41007342879791675,-0.22699378559937045,1.0,2,4
"['rsp', 'lm']",0.0,0,0.41007342879791675,-0.22699378559937045,1.0,2,4
"['pm', 'am']",2.0,0,0.41007342879791675,1.3579687151217859,0.012173628988979862,2,3
"['pm', 'al']",0.0,0,0.41007342879791675,-0.22699378559937045,1.0,2,4
"['pm', 'lm']",1.0,0,0.41007342879791675,0.7730062144006296,0.15761670300376432,2,3
"['am', 'al']",0.0,0,0.41007342879791675,-0.22699378559937045,1.0,2,4
"['am', 'lm']",0.0,0,0.41007342879791675,-0.22699378559937045,1.0,2,4
"['al', 'lm']",0.0,0,0.41007342879791675,-0.22699378559937045,1.0,2,4
"['rsp', 'pm', 'am']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['rsp', 'pm', 'al']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['rsp', 'pm', 'lm']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['rsp', 'am', 'al']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['rsp', 'am', 'lm']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['rsp', 'al', 'lm']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['pm', 'am', 'al']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['pm', 'am', 'lm']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['pm', 'al', 'lm']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['am', 'al', 'lm']",0.0,0,0.20605536528535243,-0.06018355104902167,1.0,3,4
"['rsp', 'pm', 'am', 'al']",0.0,0,0.10315462106798709,-0.015282890449533511,1.0,4,4
"['rsp', 'pm', 'am', 'lm']",0.0,0,0.10315462106798709,-0.015282890449533511,1.0,4,4
"['rsp', 'pm', 'al', 'lm']",0.0,0,0.10315462106798709,-0.015282890449533511,1.0,4,4
"['rsp', 'am', 'al', 'lm']",0.0,0,0.10315462106798709,-0.015282890449533511,1.0,4,4
"['pm', 'am', 'al', 'lm']",0.0,0,0.10315462106798709,-0.015282890449533511,1.0,4,4
"['rsp', 'pm', 'am', 'al', 'lm']",0.0,0,0.05159316563732062,-0.0038359271534985227,1.0,5,4
