,rsp,pm,am,al,lm
cell_48,0.0,0.0,0.22234707,0.59454748,1.0
cell_500,0.0,0.0,0.67289244,0.4172263,1.0
cell_543,0.0,0.0,0.07144371,1.0,0.12852648
