,rsp,pm,am,al,lm
cell_19,0.70278485,0.4407171,0.0,0.19582741,1.0
cell_54,0.61109713,0.33047403,0.0,0.14504414,1.0
cell_230,0.40757115,0.26952947,0.0,0.37639553,1.0
cell_304,1.0,0.28932161,0.0,0.25973684,0.41822034
cell_914,0.04935724,0.10880089,0.0,0.08546596,1.0
