,rsp,pm,am,al,lm
cell_3087,0.0,0.15290441,0.0,0.0,1.0
cell_3094,0.0,1.0,0.0,0.0,0.20185289
cell_3116,0.0,1.0,0.0,0.0,0.30277934
cell_3122,0.0,1.0,0.0,0.0,0.69206706
cell_3127,0.0,0.58977416,0.0,0.0,1.0
cell_3163,0.0,0.15012433,0.0,0.0,1.0
cell_3232,0.0,0.30963143,0.0,0.0,1.0
cell_3238,0.0,0.09436387,0.0,0.0,1.0
cell_3308,0.0,0.19816412,0.0,0.0,1.0
cell_3328,0.0,1.0,0.0,0.0,0.59114061
cell_3329,0.0,0.0878387,0.0,0.0,1.0
cell_3345,0.0,0.48569636,0.0,0.0,1.0
cell_3346,0.0,0.49541029,0.0,0.0,1.0
cell_3347,0.0,0.55045588,0.0,0.0,1.0
cell_3391,0.0,1.0,0.0,0.0,0.15571509
cell_3427,0.0,1.0,0.0,0.0,0.94198016
cell_3457,0.0,0.20237349,0.0,0.0,1.0
cell_3458,0.0,1.0,0.0,0.0,0.69206706
cell_3469,0.0,0.20642096,0.0,0.0,1.0
cell_3470,0.0,1.0,0.0,0.0,0.62644001
cell_3486,0.0,0.33420536,0.0,0.0,1.0
cell_3545,0.0,1.0,0.0,0.0,0.66060946
cell_3598,0.0,0.60049732,0.0,0.0,1.0
cell_3604,0.0,0.47181933,0.0,0.0,1.0
cell_3659,0.0,1.0,0.0,0.0,0.55897724
cell_3678,0.0,0.51605239,0.0,0.0,1.0
cell_3706,0.0,1.0,0.0,0.0,0.50994415
cell_3727,0.0,0.08926312,0.0,0.0,1.0
cell_3731,0.0,0.58977416,0.0,0.0,1.0
cell_3736,0.0,1.0,0.0,0.0,0.16148231
