,rsp,pm,am,al,lm
cell_19,0.0,1.0,0.89762797,0.0,0.0
cell_28,0.0,0.83553547,1.0,0.0,0.0
cell_56,0.0,1.0,0.27540858,0.0,0.0
cell_73,0.0,1.0,0.33661049,0.0,0.0
cell_92,0.0,1.0,0.50491573,0.0,0.0
cell_146,0.0,1.0,0.24310757,0.0,0.0
cell_152,0.0,1.0,0.89762797,0.0,0.0
cell_203,0.0,0.27007207,1.0,0.0,0.0
cell_220,0.0,1.0,0.71810237,0.0,0.0
cell_221,0.0,1.0,0.14025437,0.0,0.0
cell_248,0.0,0.32291226,1.0,0.0,0.0
cell_250,0.0,1.0,0.62335275,0.0,0.0
cell_278,0.0,1.0,0.57704655,0.0,0.0
cell_284,0.0,1.0,0.41141282,0.0,0.0
cell_350,0.0,1.0,0.31198045,0.0,0.0
cell_409,0.0,1.0,0.92567884,0.0,0.0
cell_533,0.0,0.49513213,1.0,0.0,0.0
cell_586,0.0,0.92029993,1.0,0.0,0.0
cell_592,0.0,0.54014414,1.0,0.0,0.0
cell_610,0.0,1.0,0.89762796,0.0,0.0
cell_612,0.0,1.0,0.44881398,0.0,0.0
cell_639,0.0,0.67518017,1.0,0.0,0.0
cell_647,0.0,0.54014414,1.0,0.0,0.0
cell_649,0.0,0.47744884,1.0,0.0,0.0
cell_674,0.0,1.0,0.49605756,0.0,0.0
cell_678,0.0,0.27007207,1.0,0.0,0.0
cell_760,0.0,1.0,0.86556982,0.0,0.0
cell_813,0.0,1.0,0.14960466,0.0,0.0
cell_825,0.0,0.61163381,1.0,0.0,0.0
cell_858,0.0,1.0,0.28852327,0.0,0.0
cell_860,0.0,0.50311813,1.0,0.0,0.0
cell_910,0.0,0.72754109,1.0,0.0,0.0
cell_970,0.0,1.0,0.57470083,0.0,0.0
cell_993,0.0,1.0,0.25383742,0.0,0.0
cell_1016,0.0,1.0,0.58141811,0.0,0.0
cell_1046,0.0,0.19953086,1.0,0.0,0.0
cell_1063,0.0,1.0,0.93502913,0.0,0.0
cell_1082,0.0,1.0,0.19947288,0.0,0.0
cell_1091,0.0,1.0,0.64116283,0.0,0.0
cell_1092,0.0,0.84879793,1.0,0.0,0.0
cell_1099,0.0,1.0,0.25782931,0.0,0.0
cell_1115,0.0,0.2425137,1.0,0.0,0.0
cell_1161,0.0,1.0,0.52895934,0.0,0.0
cell_1220,0.0,1.0,0.47374809,0.0,0.0
cell_1257,0.0,1.0,0.40393258,0.0,0.0
cell_1328,0.0,1.0,0.37401165,0.0,0.0
cell_1329,0.0,1.0,0.3786868,0.0,0.0
cell_1342,0.0,0.51493741,1.0,0.0,0.0
cell_1379,0.0,1.0,0.30600953,0.0,0.0
cell_1398,0.0,0.63659845,1.0,0.0,0.0
cell_1431,0.0,1.0,0.18602158,0.0,0.0
cell_1438,0.0,1.0,0.52686859,0.0,0.0
cell_1481,0.0,1.0,0.02781905,0.0,0.0
cell_1535,0.0,0.59415855,1.0,0.0,0.0
cell_1554,0.0,1.0,0.23552313,0.0,0.0
cell_1568,0.0,1.0,0.42841335,0.0,0.0
cell_1575,0.0,1.0,0.28346146,0.0,0.0
cell_1634,0.0,1.0,0.43278491,0.0,0.0
cell_1701,0.0,1.0,0.20893065,0.0,0.0
cell_1711,0.0,1.0,0.08362993,0.0,0.0
