,rsp,pm,am,al,lm
cell_515,0.0671176,0.10763742,1.0,0.15845697,0.07821693
cell_539,0.60935717,0.84172462,1.0,0.79228487,0.5396968
cell_807,1.0,0.14967995,0.18713998,0.58166745,0.59563423
cell_877,0.54923627,1.0,0.07232953,0.52897467,0.25023086
cell_1086,0.35763818,1.0,0.56964852,0.49235334,0.80741157
cell_1103,0.04489086,0.28849194,0.0351603,0.35020199,1.0
cell_1123,0.33347894,1.0,0.49948653,0.5987652,0.60165184
cell_1380,1.0,0.27084943,0.82053683,0.32504946,0.61505708
cell_1384,0.06691163,1.0,0.07451184,0.45052721,0.56205252
