,rsp,pm,am,al,lm
cell_12,0.0,0.0,0.0,1.0,0.22612788
cell_17,0.0,0.0,0.0,1.0,0.20599371
cell_98,0.0,0.0,0.0,1.0,0.29907236
cell_106,0.0,0.0,0.0,1.0,0.64086933
cell_107,0.0,0.0,0.0,1.0,0.07668522
cell_133,0.0,0.0,0.0,1.0,0.22755505
cell_187,0.0,0.0,0.0,1.0,0.34508349
cell_197,0.0,0.0,0.0,1.0,0.13667285
cell_198,0.0,0.0,0.0,1.0,0.47579693
cell_211,0.0,0.0,0.0,1.0,0.6157372
cell_218,0.0,0.0,0.0,0.89164599,1.0
cell_230,0.0,0.0,0.0,1.0,0.08606399
cell_276,0.0,0.0,0.0,1.0,0.7136954
cell_313,0.0,0.0,0.0,1.0,0.76035345
cell_318,0.0,0.0,0.0,1.0,0.49845393
cell_343,0.0,0.0,0.0,1.0,0.13773069
cell_350,0.0,0.0,0.0,0.36223118,1.0
cell_367,0.0,0.0,0.0,1.0,0.1289105
cell_368,0.0,0.0,0.0,1.0,0.49845393
