Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,2.1952134361524673,0.0,0.010232137220991889,0,4
['rsp'],3.0,5,2.1952134361524673,-0.6053979929321497,0.49231101552860523,1,4
['pm'],47.0,5,2.1952134361524673,2.9795645077890067,1e-10,1,1
['am'],1.0,5,2.1952134361524673,-1.6053979929321496,0.06533385918510043,1,4
['al'],7.0,5,2.1952134361524673,0.39460200706785037,0.3577747983173335,1,3
['lm'],12.0,5,2.1952134361524673,1.0950417252089426,0.004845103490366516,1,3
"['rsp', 'pm']",4.0,1,1.1201490645853884,1.1383473200206964,0.03919925794391957,2,3
"['rsp', 'am']",0.0,1,1.1201490645853884,-1.183580774866666,0.6417387870756524,2,4
"['rsp', 'al']",0.0,1,1.1201490645853884,-1.183580774866666,0.6417387870756524,2,4
"['rsp', 'lm']",1.0,1,1.1201490645853884,-0.1835807748666659,1.0,2,4
"['pm', 'am']",9.0,1,1.1201490645853884,2.1383473200206966,5.776539289126088e-06,2,1
"['pm', 'al']",2.0,1,1.1201490645853884,0.40138172585449033,0.3636470327095107,2,3
"['pm', 'lm']",8.0,1,1.1201490645853884,1.9863442265756466,4.468430197989862e-05,2,1
"['am', 'al']",0.0,1,1.1201490645853884,-1.183580774866666,0.6417387870756524,2,4
"['am', 'lm']",0.0,1,1.1201490645853884,-1.183580774866666,0.6417387870756524,2,4
"['al', 'lm']",0.0,1,1.1201490645853884,-1.183580774866666,0.6417387870756524,2,4
"['rsp', 'pm', 'am']",1.0,0,0.562857060389865,0.6018142682846953,0.2726674696121295,3,3
"['rsp', 'pm', 'al']",0.0,0,0.562857060389865,-0.3981857317153047,1.0,3,4
"['rsp', 'pm', 'lm']",0.0,0,0.562857060389865,-0.3981857317153047,1.0,3,4
"['rsp', 'am', 'al']",0.0,0,0.562857060389865,-0.3981857317153047,1.0,3,4
"['rsp', 'am', 'lm']",0.0,0,0.562857060389865,-0.3981857317153047,1.0,3,4
"['rsp', 'al', 'lm']",0.0,0,0.562857060389865,-0.3981857317153047,1.0,3,4
"['pm', 'am', 'al']",0.0,0,0.562857060389865,-0.3981857317153047,1.0,3,4
"['pm', 'am', 'lm']",2.0,0,0.562857060389865,1.1867767690058515,0.040725086961888556,3,3
"['pm', 'al', 'lm']",0.0,0,0.562857060389865,-0.3981857317153047,1.0,3,4
"['am', 'al', 'lm']",0.0,0,0.562857060389865,-0.3981857317153047,1.0,3,4
"['rsp', 'pm', 'am', 'al']",0.0,0,0.2817752728716983,-0.11031299206049505,1.0,4,4
"['rsp', 'pm', 'am', 'lm']",0.0,0,0.2817752728716983,-0.11031299206049505,1.0,4,4
"['rsp', 'pm', 'al', 'lm']",0.0,0,0.2817752728716983,-0.11031299206049505,1.0,4,4
"['rsp', 'am', 'al', 'lm']",0.0,0,0.2817752728716983,-0.11031299206049505,1.0,4,4
"['pm', 'am', 'al', 'lm']",0.0,0,0.2817752728716983,-0.11031299206049505,1.0,4,4
"['rsp', 'pm', 'am', 'al', 'lm']",0.0,0,0.14093094594559427,-0.028379043383939134,1.0,5,4
