,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,9.0,,,,,9.0,1.0,11.11111111111111
1,,21.0,,,,21.0,7.0,33.33333333333333
2,,,73.0,,,73.0,45.0,61.64383561643836
3,,,,76.0,,76.0,54.0,71.05263157894737
4,,,,,204.0,204.0,165.0,80.88235294117648
5,9.0,21.0,,,,30.0,0.0,0.0
6,9.0,,73.0,,,82.0,3.0,3.6585365853658534
7,9.0,,,76.0,,85.0,1.0,1.1764705882352942
8,9.0,,,,204.0,213.0,1.0,0.4694835680751174
9,,21.0,73.0,,,94.0,3.0,3.1914893617021276
10,,21.0,,76.0,,97.0,0.0,0.0
11,,21.0,,,204.0,225.0,1.0,0.4444444444444444
12,,,73.0,76.0,,149.0,2.0,1.342281879194631
13,,,73.0,,204.0,277.0,13.0,4.693140794223827
14,,,,76.0,204.0,280.0,13.0,4.642857142857143
15,9.0,21.0,73.0,,,103.0,1.0,0.9708737864077669
16,9.0,21.0,,76.0,,106.0,0.0,0.0
17,9.0,21.0,,,204.0,234.0,1.0,0.4273504273504274
18,9.0,,73.0,76.0,,158.0,0.0,0.0
19,9.0,,73.0,,204.0,286.0,0.0,0.0
20,9.0,,,76.0,204.0,289.0,0.0,0.0
21,,21.0,73.0,76.0,,170.0,0.0,0.0
22,,21.0,73.0,,204.0,298.0,3.0,1.006711409395973
23,,21.0,,76.0,204.0,301.0,4.0,1.3289036544850499
24,,,73.0,76.0,204.0,353.0,2.0,0.56657223796034
25,9.0,21.0,73.0,76.0,,179.0,0.0,0.0
26,9.0,21.0,73.0,,204.0,307.0,1.0,0.32573289902280134
27,9.0,21.0,,76.0,204.0,310.0,0.0,0.0
28,9.0,,73.0,76.0,204.0,362.0,0.0,0.0
29,,21.0,73.0,76.0,204.0,374.0,0.0,0.0
30,9.0,21.0,73.0,76.0,204.0,383.0,0.0,0.0
