,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,9.0,,,,,9.0,3.0,33.33333333333333
1,,73.0,,,,73.0,47.0,64.38356164383562
2,,,13.0,,,13.0,1.0,7.6923076923076925
3,,,,9.0,,9.0,7.0,77.77777777777779
4,,,,,23.0,23.0,12.0,52.17391304347826
5,9.0,73.0,,,,82.0,4.0,4.878048780487805
6,9.0,,13.0,,,22.0,0.0,0.0
7,9.0,,,9.0,,18.0,0.0,0.0
8,9.0,,,,23.0,32.0,1.0,3.125
9,,73.0,13.0,,,86.0,9.0,10.465116279069768
10,,73.0,,9.0,,82.0,2.0,2.4390243902439024
11,,73.0,,,23.0,96.0,8.0,8.333333333333332
12,,,13.0,9.0,,22.0,0.0,0.0
13,,,13.0,,23.0,36.0,0.0,0.0
14,,,,9.0,23.0,32.0,0.0,0.0
15,9.0,73.0,13.0,,,95.0,1.0,1.0526315789473684
16,9.0,73.0,,9.0,,91.0,0.0,0.0
17,9.0,73.0,,,23.0,105.0,0.0,0.0
18,9.0,,13.0,9.0,,31.0,0.0,0.0
19,9.0,,13.0,,23.0,45.0,0.0,0.0
20,9.0,,,9.0,23.0,41.0,0.0,0.0
21,,73.0,13.0,9.0,,95.0,0.0,0.0
22,,73.0,13.0,,23.0,109.0,2.0,1.834862385321101
23,,73.0,,9.0,23.0,105.0,0.0,0.0
24,,,13.0,9.0,23.0,45.0,0.0,0.0
25,9.0,73.0,13.0,9.0,,104.0,0.0,0.0
26,9.0,73.0,13.0,,23.0,118.0,0.0,0.0
27,9.0,73.0,,9.0,23.0,114.0,0.0,0.0
28,9.0,,13.0,9.0,23.0,54.0,0.0,0.0
29,,73.0,13.0,9.0,23.0,118.0,0.0,0.0
30,9.0,73.0,13.0,9.0,23.0,127.0,0.0,0.0
