Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,3.3135003584810074,0.0,1.2650632241394805e-05,0,2
['rsp'],0.0,11,3.3135003584810074,-3.65383560695294,1.2650632241394805e-05,1,2
['pm'],11.0,11,3.3135003584810074,-0.06887310623178376,1.0,1,4
['am'],3.0,11,3.3135003584810074,-1.65383560695294,0.005806918803580568,1,4
['al'],15.0,11,3.3135003584810074,0.34616439304706,0.28931541719132337,1,3
['lm'],178.0,11,3.3135003584810074,3.8299801703113165,1e-10,1,1
"['rsp', 'pm']",0.0,2,1.6907760611930136,-1.9622496071855409,0.12671844534087867,2,4
"['rsp', 'am']",1.0,2,1.6907760611930136,-0.9622496071855409,0.37962405870601945,2,4
"['rsp', 'al']",0.0,2,1.6907760611930136,-1.9622496071855409,0.12671844534087867,2,4
"['rsp', 'lm']",0.0,2,1.6907760611930136,-1.9622496071855409,0.12671844534087867,2,4
"['pm', 'am']",1.0,2,1.6907760611930136,-0.9622496071855409,0.37962405870601945,2,4
"['pm', 'al']",0.0,2,1.6907760611930136,-1.9622496071855409,0.12671844534087867,2,4
"['pm', 'lm']",5.0,2,1.6907760611930136,0.6227128935356154,0.2206603752096103,2,3
"['am', 'al']",0.0,2,1.6907760611930136,-1.9622496071855409,0.12671844534087867,2,4
"['am', 'lm']",1.0,2,1.6907760611930136,-0.9622496071855409,0.37962405870601945,2,4
"['al', 'lm']",5.0,2,1.6907760611930136,0.6227128935356154,0.2206603752096103,2,3
"['rsp', 'pm', 'am']",0.0,0,0.8495880357967387,-0.7859043714166253,1.0,3,4
"['rsp', 'pm', 'al']",0.0,0,0.8495880357967387,-0.7859043714166253,1.0,3,4
"['rsp', 'pm', 'lm']",0.0,0,0.8495880357967387,-0.7859043714166253,1.0,3,4
"['rsp', 'am', 'al']",0.0,0,0.8495880357967387,-0.7859043714166253,1.0,3,4
"['rsp', 'am', 'lm']",0.0,0,0.8495880357967387,-0.7859043714166253,1.0,3,4
"['rsp', 'al', 'lm']",0.0,0,0.8495880357967387,-0.7859043714166253,1.0,3,4
"['pm', 'am', 'al']",0.0,0,0.8495880357967387,-0.7859043714166253,1.0,3,4
"['pm', 'am', 'lm']",1.0,0,0.8495880357967387,0.21409562858337472,0.51585066817155,3,3
"['pm', 'al', 'lm']",0.0,0,0.8495880357967387,-0.7859043714166253,1.0,3,4
"['am', 'al', 'lm']",0.0,0,0.8495880357967387,-0.7859043714166253,1.0,3,4
"['rsp', 'pm', 'am', 'al']",0.0,0,0.4253173984338756,-0.24006173635734504,1.0,4,4
"['rsp', 'pm', 'am', 'lm']",0.0,0,0.4253173984338756,-0.24006173635734504,1.0,4,4
"['rsp', 'pm', 'al', 'lm']",0.0,0,0.4253173984338756,-0.24006173635734504,1.0,4,4
"['rsp', 'am', 'al', 'lm']",0.0,0,0.4253173984338756,-0.24006173635734504,1.0,4,4
"['pm', 'am', 'al', 'lm']",0.0,0,0.4253173984338756,-0.24006173635734504,1.0,4,4
"['rsp', 'pm', 'am', 'al', 'lm']",0.0,0,0.21272407148266043,-0.06386294988857696,1.0,5,4
