,Motif,Observed,Expected
0,,0.0,0
1,rsp,19.0,50
2,pm,64.0,50
3,am,1.0,50
4,al,72.0,50
5,lm,467.0,50
6,rsp+pm,29.0,12
7,rsp+am,3.0,12
8,rsp+al,3.0,12
9,rsp+lm,24.0,12
10,pm+am,10.0,12
11,pm+al,3.0,12
12,pm+lm,62.0,12
13,am+al,2.0,12
14,am+lm,5.0,12
15,al+lm,125.0,12
16,rsp+pm+am,3.0,3
17,rsp+pm+al,3.0,3
18,rsp+pm+lm,24.0,3
19,rsp+am+al,0.0,3
20,rsp+am+lm,0.0,3
21,rsp+al+lm,5.0,3
22,pm+am+al,0.0,3
23,pm+am+lm,10.0,3
24,pm+al+lm,8.0,3
25,am+al+lm,2.0,3
26,rsp+pm+am+al,0.0,0
27,rsp+pm+am+lm,2.0,0
28,rsp+pm+al+lm,5.0,0
29,rsp+am+al+lm,0.0,0
30,pm+am+al+lm,4.0,0
31,rsp+pm+am+al+lm,0.0,0
