,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,8.0,,,,,8.0,1.0,12.5
1,,14.0,,,,14.0,5.0,35.714285714285715
2,,,25.0,,,25.0,12.0,48.0
3,,,,89.0,,89.0,62.0,69.66292134831461
4,,,,,41.0,41.0,17.0,41.46341463414634
5,8.0,14.0,,,,22.0,0.0,0.0
6,8.0,,25.0,,,33.0,2.0,6.0606060606060606
7,8.0,,,89.0,,97.0,1.0,1.0309278350515463
8,8.0,,,,41.0,49.0,2.0,4.081632653061225
9,,14.0,25.0,,,39.0,1.0,2.564102564102564
10,,14.0,,89.0,,103.0,1.0,0.9708737864077669
11,,14.0,,,41.0,55.0,3.0,5.454545454545454
12,,,25.0,89.0,,114.0,4.0,3.508771929824561
13,,,25.0,,41.0,66.0,0.0,0.0
14,,,,89.0,41.0,130.0,15.0,11.538461538461538
15,8.0,14.0,25.0,,,47.0,0.0,0.0
16,8.0,14.0,,89.0,,111.0,0.0,0.0
17,8.0,14.0,,,41.0,63.0,1.0,1.5873015873015872
18,8.0,,25.0,89.0,,122.0,1.0,0.819672131147541
19,8.0,,25.0,,41.0,74.0,0.0,0.0
20,8.0,,,89.0,41.0,138.0,0.0,0.0
21,,14.0,25.0,89.0,,128.0,2.0,1.5625
22,,14.0,25.0,,41.0,80.0,0.0,0.0
23,,14.0,,89.0,41.0,144.0,0.0,0.0
24,,,25.0,89.0,41.0,155.0,2.0,1.2903225806451613
25,8.0,14.0,25.0,89.0,,136.0,0.0,0.0
26,8.0,14.0,25.0,,41.0,88.0,0.0,0.0
27,8.0,14.0,,89.0,41.0,152.0,0.0,0.0
28,8.0,,25.0,89.0,41.0,163.0,0.0,0.0
29,,14.0,25.0,89.0,41.0,169.0,1.0,0.591715976331361
30,8.0,14.0,25.0,89.0,41.0,177.0,0.0,0.0
