Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,9.24658401905773,0.0,1e-10,0,2
['rsp'],4.0,90,9.24658401905773,-4.1895077604432025,1e-10,1,2
['pm'],146.0,90,9.24658401905773,0.6882364895057993,2.8388668171221368e-08,1,1
['am'],22.0,90,9.24658401905773,-1.9878738992735523,1e-10,1,2
['al'],748.0,90,9.24658401905773,3.037386053128186,1e-10,1,1
['lm'],329.0,90,9.24658401905773,1.8548863589152507,1e-10,1,1
"['rsp', 'pm']",5.0,22,4.718243916050056,-1.973151498952536,1.7325229860641156e-05,2,2
"['rsp', 'am']",6.0,22,4.718243916050056,-1.750759077616088,7.219199667520083e-05,2,2
"['rsp', 'al']",1.0,22,4.718243916050056,-3.558113999673692,7.4277017383441554e-09,2,2
"['rsp', 'lm']",2.0,22,4.718243916050056,-2.973151498952536,6.491915146221674e-08,2,2
"['pm', 'am']",60.0,22,4.718243916050056,1.372623337889194,1e-10,2,1
"['pm', 'al']",32.0,22,4.718243916050056,0.48628011968476126,0.05514530231035726,2,3
"['pm', 'lm']",60.0,22,4.718243916050056,1.372623337889194,1e-10,2,1
"['am', 'al']",7.0,22,4.718243916050056,-1.558113999673692,0.0002678073335401913,2,2
"['am', 'lm']",21.0,22,4.718243916050056,-0.09868238103639489,0.8322381281891116,2,4
"['al', 'lm']",132.0,22,4.718243916050056,2.4971684358274975,1e-10,2,1
"['rsp', 'pm', 'am']",13.0,5,2.3708424037056877,1.0763079607667005,0.005360237777148643,3,3
"['rsp', 'pm', 'al']",3.0,5,2.3708424037056877,-0.7310469612909032,0.3936919318888232,3,4
"['rsp', 'pm', 'lm']",1.0,5,2.3708424037056877,-1.7310469612909032,0.05268164315136236,3,4
"['rsp', 'am', 'al']",1.0,5,2.3708424037056877,-1.7310469612909032,0.05268164315136236,3,4
"['rsp', 'am', 'lm']",3.0,5,2.3708424037056877,-0.7310469612909032,0.3936919318888232,3,4
"['rsp', 'al', 'lm']",1.0,5,2.3708424037056877,-1.7310469612909032,0.05268164315136236,3,4
"['pm', 'am', 'al']",11.0,5,2.3708424037056877,0.8539155394302529,0.03275260780689645,3,3
"['pm', 'am', 'lm']",34.0,5,2.3708424037056877,2.398236055654063,1e-10,3,1
"['pm', 'al', 'lm']",23.0,5,2.3708424037056877,1.853915539430253,3.124242630221434e-08,3,1
"['am', 'al', 'lm']",3.0,5,2.3708424037056877,-0.7310469612909032,0.3936919318888232,3,4
"['rsp', 'pm', 'am', 'al']",4.0,1,1.1868817365056052,1.052988816457745,0.054767258832803166,4,3
"['rsp', 'pm', 'am', 'lm']",20.0,1,1.1868817365056052,3.1233781443491426,1e-10,4,1
"['rsp', 'pm', 'al', 'lm']",3.0,1,1.1868817365056052,0.7310607215703826,0.1688272889706916,4,3
"['rsp', 'am', 'al', 'lm']",1.0,1,1.1868817365056052,-0.26893927842961735,1.0,4,4
"['pm', 'am', 'al', 'lm']",16.0,1,1.1868817365056052,2.818523562820722,1e-10,4,1
"['rsp', 'pm', 'am', 'al', 'lm']",9.0,0,0.5936232947148892,2.8863413155969546,1.6531025352663892e-10,5,1
