,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,16.0,,,,,16.0,7.0,43.75
1,,20.0,,,,20.0,10.0,50.0
2,,,38.0,,,38.0,24.0,63.1578947368421
3,,,,8.0,,8.0,3.0,37.5
4,,,,,150.0,150.0,132.0,88.0
5,16.0,20.0,,,,36.0,1.0,2.7777777777777777
6,16.0,,38.0,,,54.0,1.0,1.8518518518518516
7,16.0,,,8.0,,24.0,0.0,0.0
8,16.0,,,,150.0,166.0,3.0,1.8072289156626504
9,,20.0,38.0,,,58.0,3.0,5.172413793103448
10,,20.0,,8.0,,28.0,0.0,0.0
11,,20.0,,,150.0,170.0,2.0,1.1764705882352942
12,,,38.0,8.0,,46.0,0.0,0.0
13,,,38.0,,150.0,188.0,6.0,3.1914893617021276
14,,,,8.0,150.0,158.0,4.0,2.5316455696202533
15,16.0,20.0,38.0,,,74.0,1.0,1.3513513513513513
16,16.0,20.0,,8.0,,44.0,1.0,2.272727272727273
17,16.0,20.0,,,150.0,186.0,0.0,0.0
18,16.0,,38.0,8.0,,62.0,0.0,0.0
19,16.0,,38.0,,150.0,204.0,1.0,0.49019607843137253
20,16.0,,,8.0,150.0,174.0,0.0,0.0
21,,20.0,38.0,8.0,,66.0,0.0,0.0
22,,20.0,38.0,,150.0,208.0,1.0,0.4807692307692308
23,,20.0,,8.0,150.0,178.0,0.0,0.0
24,,,38.0,8.0,150.0,196.0,0.0,0.0
25,16.0,20.0,38.0,8.0,,82.0,0.0,0.0
26,16.0,20.0,38.0,,150.0,224.0,1.0,0.4464285714285714
27,16.0,20.0,,8.0,150.0,194.0,0.0,0.0
28,16.0,,38.0,8.0,150.0,212.0,0.0,0.0
29,,20.0,38.0,8.0,150.0,216.0,0.0,0.0
30,16.0,20.0,38.0,8.0,150.0,232.0,0.0,0.0
