,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,226.0,,,,,226.0,29.0,12.831858407079647
1,,838.0,,,,838.0,306.0,36.51551312649165
2,,,418.0,,,418.0,97.0,23.205741626794257
3,,,,1709.0,,1709.0,1220.0,71.3867758923347
4,,,,,1938.0,1938.0,1215.0,62.693498452012385
5,226.0,838.0,,,,1064.0,38.0,3.571428571428571
6,226.0,,418.0,,,644.0,15.0,2.329192546583851
7,226.0,,,1709.0,,1935.0,6.0,0.31007751937984496
8,226.0,,,,1938.0,2164.0,31.0,1.432532347504621
9,,838.0,418.0,,,1256.0,89.0,7.085987261146497
10,,838.0,,1709.0,,2547.0,42.0,1.6489988221436984
11,,838.0,,,1938.0,2776.0,144.0,5.187319884726225
12,,,418.0,1709.0,,2127.0,16.0,0.7522331922896097
13,,,418.0,,1938.0,2356.0,42.0,1.7826825127334467
14,,,,1709.0,1938.0,3647.0,309.0,8.472717301891967
15,226.0,838.0,418.0,,,1482.0,18.0,1.214574898785425
16,226.0,838.0,,1709.0,,2773.0,6.0,0.2163721601153985
17,226.0,838.0,,,1938.0,3002.0,27.0,0.899400399733511
18,226.0,,418.0,1709.0,,2353.0,2.0,0.08499787505312367
19,226.0,,418.0,,1938.0,2582.0,3.0,0.11618900077459333
20,226.0,,,1709.0,1938.0,3873.0,6.0,0.1549186676994578
21,,838.0,418.0,1709.0,,2965.0,14.0,0.4721753794266442
22,,838.0,418.0,,1938.0,3194.0,54.0,1.6906700062617408
23,,838.0,,1709.0,1938.0,4485.0,35.0,0.7803790412486065
24,,,418.0,1709.0,1938.0,4065.0,10.0,0.24600246002460024
25,226.0,838.0,418.0,1709.0,,3191.0,4.0,0.12535255405828893
26,226.0,838.0,418.0,,1938.0,3420.0,23.0,0.672514619883041
27,226.0,838.0,,1709.0,1938.0,4711.0,8.0,0.16981532583315645
28,226.0,,418.0,1709.0,1938.0,4291.0,1.0,0.023304591004427874
29,,838.0,418.0,1709.0,1938.0,4903.0,21.0,0.4283091984499286
30,226.0,838.0,418.0,1709.0,1938.0,5129.0,9.0,0.17547280171573407
