,Motif,Observed,Expected
0,,0.0,0
1,rsp,4.0,90
2,pm,146.0,90
3,am,22.0,90
4,al,748.0,90
5,lm,329.0,90
6,rsp+pm,5.0,22
7,rsp+am,6.0,22
8,rsp+al,1.0,22
9,rsp+lm,2.0,22
10,pm+am,60.0,22
11,pm+al,32.0,22
12,pm+lm,60.0,22
13,am+al,7.0,22
14,am+lm,21.0,22
15,al+lm,132.0,22
16,rsp+pm+am,13.0,5
17,rsp+pm+al,3.0,5
18,rsp+pm+lm,1.0,5
19,rsp+am+al,1.0,5
20,rsp+am+lm,3.0,5
21,rsp+al+lm,1.0,5
22,pm+am+al,11.0,5
23,pm+am+lm,34.0,5
24,pm+al+lm,23.0,5
25,am+al+lm,3.0,5
26,rsp+pm+am+al,4.0,1
27,rsp+pm+am+lm,20.0,1
28,rsp+pm+al+lm,3.0,1
29,rsp+am+al+lm,1.0,1
30,pm+am+al+lm,16.0,1
31,rsp+pm+am+al+lm,9.0,0
