,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,120.0,,,,,120.0,19.0,15.833333333333332
1,,227.0,,,,227.0,64.0,28.193832599118945
2,,,42.0,,,42.0,1.0,2.380952380952381
3,,,,232.0,,232.0,72.0,31.03448275862069
4,,,,,743.0,743.0,467.0,62.85329744279946
5,120.0,227.0,,,,347.0,29.0,8.357348703170029
6,120.0,,42.0,,,162.0,3.0,1.8518518518518516
7,120.0,,,232.0,,352.0,3.0,0.8522727272727272
8,120.0,,,,743.0,863.0,24.0,2.7809965237543453
9,,227.0,42.0,,,269.0,10.0,3.717472118959108
10,,227.0,,232.0,,459.0,3.0,0.6535947712418301
11,,227.0,,,743.0,970.0,62.0,6.391752577319587
12,,,42.0,232.0,,274.0,2.0,0.7299270072992701
13,,,42.0,,743.0,785.0,5.0,0.6369426751592357
14,,,,232.0,743.0,975.0,125.0,12.82051282051282
15,120.0,227.0,42.0,,,389.0,3.0,0.7712082262210797
16,120.0,227.0,,232.0,,579.0,3.0,0.5181347150259068
17,120.0,227.0,,,743.0,1090.0,24.0,2.2018348623853212
18,120.0,,42.0,232.0,,394.0,0.0,0.0
19,120.0,,42.0,,743.0,905.0,0.0,0.0
20,120.0,,,232.0,743.0,1095.0,5.0,0.45662100456621
21,,227.0,42.0,232.0,,501.0,0.0,0.0
22,,227.0,42.0,,743.0,1012.0,10.0,0.9881422924901186
23,,227.0,,232.0,743.0,1202.0,8.0,0.6655574043261231
24,,,42.0,232.0,743.0,1017.0,2.0,0.19665683382497542
25,120.0,227.0,42.0,232.0,,621.0,0.0,0.0
26,120.0,227.0,42.0,,743.0,1132.0,2.0,0.17667844522968199
27,120.0,227.0,,232.0,743.0,1322.0,5.0,0.37821482602118006
28,120.0,,42.0,232.0,743.0,1137.0,0.0,0.0
29,,227.0,42.0,232.0,743.0,1244.0,4.0,0.3215434083601286
30,120.0,227.0,42.0,232.0,743.0,1364.0,0.0,0.0
