,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,77.0,,,,,77.0,4.0,5.194805194805195
1,,440.0,,,,440.0,146.0,33.18181818181819
2,,,231.0,,,231.0,22.0,9.523809523809524
3,,,,995.0,,995.0,748.0,75.17587939698493
4,,,,,658.0,658.0,329.0,50.0
5,77.0,440.0,,,,517.0,5.0,0.9671179883945842
6,77.0,,231.0,,,308.0,6.0,1.948051948051948
7,77.0,,,995.0,,1072.0,1.0,0.09328358208955223
8,77.0,,,,658.0,735.0,2.0,0.27210884353741494
9,,440.0,231.0,,,671.0,60.0,8.941877794336811
10,,440.0,,995.0,,1435.0,32.0,2.229965156794425
11,,440.0,,,658.0,1098.0,60.0,5.46448087431694
12,,,231.0,995.0,,1226.0,7.0,0.5709624796084829
13,,,231.0,,658.0,889.0,21.0,2.3622047244094486
14,,,,995.0,658.0,1653.0,132.0,7.985480943738657
15,77.0,440.0,231.0,,,748.0,13.0,1.7379679144385027
16,77.0,440.0,,995.0,,1512.0,3.0,0.1984126984126984
17,77.0,440.0,,,658.0,1175.0,1.0,0.0851063829787234
18,77.0,,231.0,995.0,,1303.0,1.0,0.07674597083653108
19,77.0,,231.0,,658.0,966.0,3.0,0.3105590062111801
20,77.0,,,995.0,658.0,1730.0,1.0,0.05780346820809249
21,,440.0,231.0,995.0,,1666.0,11.0,0.6602641056422569
22,,440.0,231.0,,658.0,1329.0,34.0,2.558314522197141
23,,440.0,,995.0,658.0,2093.0,23.0,1.098901098901099
24,,,231.0,995.0,658.0,1884.0,3.0,0.15923566878980894
25,77.0,440.0,231.0,995.0,,1743.0,4.0,0.22948938611589212
26,77.0,440.0,231.0,,658.0,1406.0,20.0,1.422475106685633
27,77.0,440.0,,995.0,658.0,2170.0,3.0,0.1382488479262673
28,77.0,,231.0,995.0,658.0,1961.0,1.0,0.05099439061703213
29,,440.0,231.0,995.0,658.0,2324.0,16.0,0.6884681583476765
30,77.0,440.0,231.0,995.0,658.0,2401.0,9.0,0.3748438150770512
