Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,12.983387327669965,0.0,1e-10,0,2
['rsp'],29.0,176,12.983387327669965,-2.566403082892846,1e-10,1,2
['pm'],306.0,176,12.983387327669965,0.7888011668688145,1e-10,1,1
['am'],97.0,176,12.983387327669965,-0.8585838343861565,1e-10,1,2
['al'],1220.0,176,12.983387327669965,2.7805538064860382,1e-10,1,1
['lm'],1215.0,176,12.983387327669965,2.774633834942221,1e-10,1,1
"['rsp', 'pm']",38.0,56,7.44239454416114,-0.5528462069702436,0.012713486882310533,2,4
"['rsp', 'am']",15.0,56,7.44239454416114,-1.8382484258324918,1.0637177713779577e-10,2,2
"['rsp', 'al']",6.0,56,7.44239454416114,-3.030893503774888,1e-10,2,2
"['rsp', 'lm']",31.0,56,7.44239454416114,-0.8382484258324918,0.0003480134124995111,2,2
"['pm', 'am']",89.0,56,7.44239454416114,0.6536046704971827,3.896888837963446e-05,2,1
"['pm', 'al']",42.0,56,7.44239454416114,-0.41198367113039397,0.059453040172499694,2,4
"['pm', 'lm']",144.0,56,7.44239454416114,1.3416606641824427,1e-10,2,1
"['am', 'al']",16.0,56,7.44239454416114,-1.7507855845821527,4.072297013119582e-10,2,2
"['am', 'lm']",42.0,56,7.44239454416114,-0.41198367113039397,0.059453040172499694,2,4
"['al', 'lm']",309.0,56,7.44239454416114,2.4378759794417455,1e-10,2,1
"['rsp', 'pm', 'am']",18.0,17,4.2188967283977385,0.008959916886831263,0.9056238053996319,3,3
"['rsp', 'pm', 'al']",6.0,17,4.2188967283977385,-1.4316126744991502,0.0027100883524233212,3,4
"['rsp', 'pm', 'lm']",27.0,17,4.2188967283977385,0.5683873255008498,0.042271599982537184,3,3
"['rsp', 'am', 'al']",2.0,17,4.2188967283977385,-2.654005095835598,7.276768712045432e-06,3,2
"['rsp', 'am', 'lm']",3.0,17,4.2188967283977385,-2.2389675965567544,4.0916404847426354e-05,3,2
"['rsp', 'al', 'lm']",6.0,17,4.2188967283977385,-1.4316126744991502,0.0027100883524233212,3,4
"['pm', 'am', 'al']",14.0,17,4.2188967283977385,-0.3320770009482358,0.4748369005585427,3,4
"['pm', 'am', 'lm']",54.0,17,4.2188967283977385,1.5423921169679053,1e-10,3,1
"['pm', 'al', 'lm']",35.0,17,4.2188967283977385,0.930957404885558,0.0003019699861792716,3,1
"['am', 'al', 'lm']",10.0,17,4.2188967283977385,-0.7795359779194572,0.07340102720534566,3,4
"['rsp', 'pm', 'am', 'al']",4.0,5,2.3833516344039833,-0.4198177414062764,0.6724931107217934,4,4
"['rsp', 'pm', 'am', 'lm']",23.0,5,2.3833516344039833,1.8432166644275174,3.8191709900594876e-08,4,1
"['rsp', 'pm', 'al', 'lm']",8.0,5,2.3833516344039833,0.42817916514867355,0.2915078517966472,4,3
"['rsp', 'am', 'al', 'lm']",1.0,5,2.3833516344039833,-1.7417458362936389,0.05352351443847479,4,4
"['pm', 'am', 'al', 'lm']",21.0,5,2.3833516344039833,1.7176857823436587,6.188069646204826e-07,4,1
"['rsp', 'pm', 'am', 'al', 'lm']",9.0,1,1.3449472911965707,1.8314934514738175,0.00011353758615652067,5,1
