Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,3.1600133238710506,0.0,4.215149316940891e-05,0,2
['rsp'],7.0,10,3.1600133238710506,-0.5283448704881695,0.34061496295109606,1,4
['pm'],10.0,10,3.1600133238710506,-0.06891325185087208,1.0,1,4
['am'],24.0,10,3.1600133238710506,1.1155113192865551,0.00017907730146109795,1,1
['al'],3.0,10,3.1600133238710506,-1.5283448704881695,0.010726349623066123,1,4
['lm'],132.0,10,3.1600133238710506,3.52693756501302,1e-10,1,1
"['rsp', 'pm']",1.0,2,1.6124564065239597,-0.8617756411724796,0.5297499044031561,2,4
"['rsp', 'am']",1.0,2,1.6124564065239597,-0.8617756411724796,0.5297499044031561,2,4
"['rsp', 'al']",0.0,2,1.6124564065239597,-1.8617756411724795,0.12094774617816931,2,4
"['rsp', 'lm']",3.0,2,1.6124564065239597,0.1382243588275204,0.7499988327135151,2,3
"['pm', 'am']",3.0,2,1.6124564065239597,0.1382243588275204,0.7499988327135151,2,3
"['pm', 'al']",0.0,2,1.6124564065239597,-1.8617756411724795,0.12094774617816931,2,4
"['pm', 'lm']",2.0,2,1.6124564065239597,-0.27681314045132344,1.0,2,4
"['am', 'al']",0.0,2,1.6124564065239597,-1.8617756411724795,0.12094774617816931,2,4
"['am', 'lm']",6.0,2,1.6124564065239597,0.9455792808851247,0.050435250270928794,2,3
"['al', 'lm']",4.0,2,1.6124564065239597,0.4601524537148828,0.34151416222585673,2,3
"['rsp', 'pm', 'am']",1.0,0,0.8102336569988687,0.27000199327504426,0.4830030343783531,3,3
"['rsp', 'pm', 'al']",1.0,0,0.8102336569988687,0.27000199327504426,0.4830030343783531,3,3
"['rsp', 'pm', 'lm']",0.0,0,0.8102336569988687,-0.7299980067249557,1.0,3,4
"['rsp', 'am', 'al']",0.0,0,0.8102336569988687,-0.7299980067249557,1.0,3,4
"['rsp', 'am', 'lm']",1.0,0,0.8102336569988687,0.27000199327504426,0.4830030343783531,3,3
"['rsp', 'al', 'lm']",0.0,0,0.8102336569988687,-0.7299980067249557,1.0,3,4
"['pm', 'am', 'al']",0.0,0,0.8102336569988687,-0.7299980067249557,1.0,3,4
"['pm', 'am', 'lm']",1.0,0,0.8102336569988687,0.27000199327504426,0.4830030343783531,3,3
"['pm', 'al', 'lm']",0.0,0,0.8102336569988687,-0.7299980067249557,1.0,3,4
"['am', 'al', 'lm']",0.0,0,0.8102336569988687,-0.7299980067249557,1.0,3,4
"['rsp', 'pm', 'am', 'al']",0.0,0,0.40561596514851345,-0.2199078584,1.0,4,4
"['rsp', 'pm', 'am', 'lm']",1.0,0,0.40561596514851345,0.7800921416,0.15187451900409069,4,3
"['rsp', 'pm', 'al', 'lm']",0.0,0,0.40561596514851345,-0.2199078584,1.0,4,4
"['rsp', 'am', 'al', 'lm']",0.0,0,0.40561596514851345,-0.2199078584,1.0,4,4
"['pm', 'am', 'al', 'lm']",0.0,0,0.40561596514851345,-0.2199078584,1.0,4,4
"['rsp', 'pm', 'am', 'al', 'lm']",0.0,0,0.20287032668421476,-0.05819844262889407,1.0,5,4
