Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,6.887990998011308,0.0,1e-10,0,2
['rsp'],19.0,50,6.887990998011308,-1.3524620472975353,6.227087163641231e-07,1,2
['pm'],64.0,50,6.887990998011308,0.3479776708435572,0.04950711081358371,1,3
['am'],1.0,50,6.887990998011308,-4.6743901421848975,1e-10,1,2
['al'],72.0,50,6.887990998011308,0.5154344166951198,0.0027996085617050235,1,3
['lm'],467.0,50,6.887990998011308,3.1959745773985073,1e-10,1,1
"['rsp', 'pm']",29.0,12,3.5147273364078755,1.150147378627532,4.427102239013711e-05,2,1
"['rsp', 'am']",3.0,12,3.5147273364078755,-1.7567432169809865,0.002579784217072668,2,4
"['rsp', 'al']",3.0,12,3.5147273364078755,-1.7567432169809865,0.002579784217072668,2,4
"['rsp', 'lm']",24.0,12,3.5147273364078755,0.8871129727937382,0.0037999240637931063,2,3
"['pm', 'am']",10.0,12,3.5147273364078755,-0.29731159834368937,0.5695336162184619,2,4
"['pm', 'al']",3.0,12,3.5147273364078755,-1.7567432169809865,0.002579784217072668,2,4
"['pm', 'lm']",62.0,12,3.5147273364078755,2.2205367065189296,1e-10,2,1
"['am', 'al']",2.0,12,3.5147273364078755,-2.17178071625983,0.0005466259554875148,2,2
"['am', 'lm']",5.0,12,3.5147273364078755,-1.1717807162598304,0.031084003513772468,2,4
"['al', 'lm']",125.0,12,3.5147273364078755,3.2205367065189296,1e-10,2,1
"['rsp', 'pm', 'am']",3.0,3,1.7660944950881874,-0.04591260897705758,1.0,3,4
"['rsp', 'pm', 'al']",3.0,3,1.7660944950881874,-0.04591260897705758,1.0,3,4
"['rsp', 'pm', 'lm']",24.0,3,1.7660944950881874,2.597943580797667,1e-10,3,1
"['rsp', 'am', 'al']",0.0,3,1.7660944950881874,-2.0459126089770576,0.08370975349598879,3,4
"['rsp', 'am', 'lm']",0.0,3,1.7660944950881874,-2.0459126089770576,0.08370975349598879,3,4
"['rsp', 'al', 'lm']",5.0,3,1.7660944950881874,0.5390498917440986,0.25019087112589544,3,3
"['pm', 'am', 'al']",0.0,3,1.7660944950881874,-2.0459126089770576,0.08370975349598879,3,4
"['pm', 'am', 'lm']",10.0,3,1.7660944950881874,1.4135190096602397,0.0014667890739540692,3,1
"['pm', 'al', 'lm']",8.0,3,1.7660944950881874,1.1240123924652548,0.01478590468194822,3,3
"['am', 'al', 'lm']",2.0,3,1.7660944950881874,-0.4609501082559014,0.776214927406611,3,4
"['rsp', 'pm', 'am', 'al']",0.0,0,0.8841352330660733,-0.833769334525136,1.0,4,4
"['rsp', 'pm', 'am', 'lm']",2.0,0,0.8841352330660733,0.7511931661960201,0.18484088195821013,4,3
"['rsp', 'pm', 'al', 'lm']",5.0,0,0.8841352330660733,1.75119316619602,0.0012711768417869229,4,1
"['rsp', 'am', 'al', 'lm']",0.0,0,0.8841352330660733,-0.833769334525136,1.0,4,4
"['pm', 'am', 'al', 'lm']",4.0,0,0.8841352330660733,1.4881587603622262,0.008385774682920476,4,3
"['rsp', 'pm', 'am', 'al', 'lm']",0.0,0,0.44220351015884074,-0.25771549527425447,1.0,5,4
