,Motif,Observed,Expected
0,,0.0,0
1,rsp,0.0,11
2,pm,11.0,11
3,am,3.0,11
4,al,15.0,11
5,lm,178.0,11
6,rsp+pm,0.0,2
7,rsp+am,1.0,2
8,rsp+al,0.0,2
9,rsp+lm,0.0,2
10,pm+am,1.0,2
11,pm+al,0.0,2
12,pm+lm,5.0,2
13,am+al,0.0,2
14,am+lm,1.0,2
15,al+lm,5.0,2
16,rsp+pm+am,0.0,0
17,rsp+pm+al,0.0,0
18,rsp+pm+lm,0.0,0
19,rsp+am+al,0.0,0
20,rsp+am+lm,0.0,0
21,rsp+al+lm,0.0,0
22,pm+am+al,0.0,0
23,pm+am+lm,1.0,0
24,pm+al+lm,0.0,0
25,am+al+lm,0.0,0
26,rsp+pm+am+al,0.0,0
27,rsp+pm+am+lm,0.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,0.0,0
30,pm+am+al+lm,0.0,0
31,rsp+pm+am+al+lm,0.0,0
