,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,1.0,,,,,1.0,0.0,0.0
1,,18.0,,,,18.0,11.0,61.111111111111114
2,,,7.0,,,7.0,3.0,42.857142857142854
3,,,,20.0,,20.0,15.0,75.0
4,,,,,190.0,190.0,178.0,93.6842105263158
5,1.0,18.0,,,,19.0,0.0,0.0
6,1.0,,7.0,,,8.0,1.0,12.5
7,1.0,,,20.0,,21.0,0.0,0.0
8,1.0,,,,190.0,191.0,0.0,0.0
9,,18.0,7.0,,,25.0,1.0,4.0
10,,18.0,,20.0,,38.0,0.0,0.0
11,,18.0,,,190.0,208.0,5.0,2.403846153846154
12,,,7.0,20.0,,27.0,0.0,0.0
13,,,7.0,,190.0,197.0,1.0,0.5076142131979695
14,,,,20.0,190.0,210.0,5.0,2.380952380952381
15,1.0,18.0,7.0,,,26.0,0.0,0.0
16,1.0,18.0,,20.0,,39.0,0.0,0.0
17,1.0,18.0,,,190.0,209.0,0.0,0.0
18,1.0,,7.0,20.0,,28.0,0.0,0.0
19,1.0,,7.0,,190.0,198.0,0.0,0.0
20,1.0,,,20.0,190.0,211.0,0.0,0.0
21,,18.0,7.0,20.0,,45.0,0.0,0.0
22,,18.0,7.0,,190.0,215.0,1.0,0.46511627906976744
23,,18.0,,20.0,190.0,228.0,0.0,0.0
24,,,7.0,20.0,190.0,217.0,0.0,0.0
25,1.0,18.0,7.0,20.0,,46.0,0.0,0.0
26,1.0,18.0,7.0,,190.0,216.0,0.0,0.0
27,1.0,18.0,,20.0,190.0,229.0,0.0,0.0
28,1.0,,7.0,20.0,190.0,218.0,0.0,0.0
29,,18.0,7.0,20.0,190.0,235.0,0.0,0.0
30,1.0,18.0,7.0,20.0,190.0,236.0,0.0,0.0
