Motif,Observed,Expected
rsp,1.0,6
pm,5.0,6
am,12.0,6
al,62.0,6
lm,17.0,6
rsp+pm,0.0,1
rsp+am,2.0,1
rsp+al,1.0,1
rsp+lm,2.0,1
pm+am,1.0,1
pm+al,1.0,1
pm+lm,3.0,1
am+al,4.0,1
am+lm,0.0,1
al+lm,15.0,1
rsp+pm+am,0.0,0
rsp+pm+al,0.0,0
rsp+pm+lm,1.0,0
rsp+am+al,1.0,0
rsp+am+lm,0.0,0
rsp+al+lm,0.0,0
pm+am+al,2.0,0
pm+am+lm,0.0,0
pm+al+lm,0.0,0
am+al+lm,2.0,0
rsp+pm+am+al,0.0,0
rsp+pm+am+lm,0.0,0
rsp+pm+al+lm,0.0,0
rsp+am+al+lm,0.0,0
pm+am+al+lm,1.0,0
rsp+pm+am+al+lm,0.0,0
