,Motif,Observed,Expected
0,,0.0,0
1,rsp,1.0,20
2,pm,26.0,20
3,am,13.0,20
4,al,260.0,20
5,lm,47.0,20
6,rsp+pm,0.0,5
7,rsp+am,0.0,5
8,rsp+al,0.0,5
9,rsp+lm,1.0,5
10,pm+am,5.0,5
11,pm+al,4.0,5
12,pm+lm,5.0,5
13,am+al,1.0,5
14,am+lm,2.0,5
15,al+lm,19.0,5
16,rsp+pm+am,0.0,1
17,rsp+pm+al,0.0,1
18,rsp+pm+lm,0.0,1
19,rsp+am+al,0.0,1
20,rsp+am+lm,0.0,1
21,rsp+al+lm,0.0,1
22,pm+am+al,1.0,1
23,pm+am+lm,4.0,1
24,pm+al+lm,0.0,1
25,am+al+lm,1.0,1
26,rsp+pm+am+al,0.0,0
27,rsp+pm+am+lm,0.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,0.0,0
30,pm+am+al+lm,0.0,0
31,rsp+pm+am+al+lm,0.0,0
