Motif,Observed,Expected
rsp,1.0,16
pm,7.0,16
am,45.0,16
al,54.0,16
lm,165.0,16
rsp+pm,0.0,4
rsp+am,3.0,4
rsp+al,1.0,4
rsp+lm,1.0,4
pm+am,3.0,4
pm+al,0.0,4
pm+lm,1.0,4
am+al,2.0,4
am+lm,13.0,4
al+lm,13.0,4
rsp+pm+am,1.0,1
rsp+pm+al,0.0,1
rsp+pm+lm,1.0,1
rsp+am+al,0.0,1
rsp+am+lm,0.0,1
rsp+al+lm,0.0,1
pm+am+al,0.0,1
pm+am+lm,3.0,1
pm+al+lm,4.0,1
am+al+lm,2.0,1
rsp+pm+am+al,0.0,0
rsp+pm+am+lm,1.0,0
rsp+pm+al+lm,0.0,0
rsp+am+al+lm,0.0,0
pm+am+al+lm,0.0,0
rsp+pm+am+al+lm,0.0,0
