Motif,Observed,Expected
rsp,19.0,50
pm,64.0,50
am,1.0,50
al,72.0,50
lm,467.0,50
rsp+pm,29.0,12
rsp+am,3.0,12
rsp+al,3.0,12
rsp+lm,24.0,12
pm+am,10.0,12
pm+al,3.0,12
pm+lm,62.0,12
am+al,2.0,12
am+lm,5.0,12
al+lm,125.0,12
rsp+pm+am,3.0,3
rsp+pm+al,3.0,3
rsp+pm+lm,24.0,3
rsp+am+al,0.0,3
rsp+am+lm,0.0,3
rsp+al+lm,5.0,3
pm+am+al,0.0,3
pm+am+lm,10.0,3
pm+al+lm,8.0,3
am+al+lm,2.0,3
rsp+pm+am+al,0.0,0
rsp+pm+am+lm,2.0,0
rsp+pm+al+lm,5.0,0
rsp+am+al+lm,0.0,0
pm+am+al+lm,4.0,0
rsp+pm+am+al+lm,0.0,0
