Motif,Mean,SEM,N
,0.0,0.0,9
rsp,0.012080385715848047,0.004389098034369335,9
pm,0.10462957694831132,0.04795441436241273,9
am,0.049569282202043145,0.017535810068777313,9
al,0.2537502262203888,0.0760222517478231,9
lm,0.37164312161894936,0.08523589248026493,9
pm+rsp,0.009931094542619581,0.005090982897087763,9
am+rsp,0.004935261782015272,0.0015668875371979841,9
al+rsp,0.0017687756190253822,0.0008393719783575254,9
lm+rsp,0.008924170511092129,0.0027708138315125645,9
am+pm,0.023381178708424967,0.009206300545848612,9
al+pm,0.007896273999633904,0.0026376515870782085,9
lm+pm,0.03231399955502558,0.00876743315240113,9
al+am,0.005466458922918952,0.003160657048245407,9
am+lm,0.012041954528347313,0.004667887150513555,9
al+lm,0.059175741498899974,0.014726942544652307,9
am+pm+rsp,0.0037535862893012767,0.0011950893742815113,9
al+pm+rsp,0.0012691286898598656,0.0005963299947734779,9
lm+pm+rsp,0.0048196954852266615,0.002734831248788028,9
al+am+rsp,0.0009578542056121645,0.0008239795145560685,9
am+lm+rsp,0.0008332829946882541,0.0005546723234395903,9
al+lm+rsp,0.0008199066243261981,0.0005790358549239157,9
al+am+pm,0.0030710180726714106,0.0016748489026946914,9
am+lm+pm,0.010445603626001316,0.0022930791616174195,9
al+lm+pm,0.004812992104681506,0.0019672606254427113,9
al+am+lm,0.003363756246947598,0.0015981579169788785,9
al+am+pm+rsp,0.00037398852949404953,0.0002694724324897584,9
am+lm+pm+rsp,0.0030883737600606452,0.0013119448931666518,9
al+lm+pm+rsp,0.0010069008890732228,0.0005970507735515273,9
al+am+lm+rsp,9.349713237351238e-05,6.73681081224396e-05,9
al+am+lm+pm,0.0029414387847769992,0.0012502615461575143,9
al+am+lm+pm+rsp,0.0008414741913616114,0.0006063129731019563,9
