Motif Size,Expected Probability,P-Value
1,0.7529411764705882,0.9999950023626347
2,0.18823529411764708,1.602238582704701e-05
3,0.04705882352941177,0.4340183655342828
4,0.011764705882352941,0.10943846548993266
