rsp,am,pm,al,lm
96.18071625,70.48200052,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,10.07433056
0.00000000,0.00000000,0.00000000,0.00000000,15.11149584
19.53670799,0.00000000,0.00000000,0.00000000,0.00000000
12.02258953,0.00000000,0.00000000,0.00000000,0.00000000
7.51411846,0.00000000,0.00000000,0.00000000,10.07433056
0.00000000,0.00000000,0.00000000,0.00000000,25.18582641
0.00000000,21.59932274,0.00000000,0.00000000,5.03716528
19.53670799,12.50487106,5.72629461,0.00000000,10.07433056
0.00000000,0.00000000,20.99641358,12.37860222,5.03716528
0.00000000,0.00000000,76.35059482,0.00000000,5.03716528
0.00000000,36.37780672,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,38.17529741,0.00000000,0.00000000
13.52541322,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,7.42716133,25.18582641
0.00000000,0.00000000,0.00000000,0.00000000,25.18582641
0.00000000,11.36806460,9.54382435,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,19.80576356,0.00000000
22.54235537,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,0.00000000,0.00000000,17.33004311,0.00000000
0.00000000,0.00000000,0.00000000,0.00000000,10.07433056
0.00000000,0.00000000,0.00000000,0.00000000,35.26015697
0.00000000,5.68403230,0.00000000,19.80576356,10.07433056
0.00000000,0.00000000,0.00000000,27.23292489,0.00000000
0.00000000,20.46251628,0.00000000,27.23292489,0.00000000
0.00000000,0.00000000,17.17888383,0.00000000,5.03716528
0.00000000,0.00000000,0.00000000,0.00000000,50.37165282
