,rsp,pm,am,al,lm
cell_30,0.0,0.0,1.0,0.10755164,0.0
cell_72,0.0,0.0,0.42262997,1.0,0.0
cell_90,0.0,0.0,0.41494579,1.0,0.0
cell_129,0.0,0.0,0.21735256,1.0,0.0
cell_130,0.0,0.0,0.59665407,1.0,0.0
cell_176,0.0,0.0,0.33810398,1.0,0.0
cell_205,0.0,0.0,0.42262997,1.0,0.0
cell_238,0.0,0.0,0.07482629,1.0,0.0
cell_340,0.0,0.0,1.0,0.29926716,0.0
cell_352,0.0,0.0,1.0,0.36118451,0.0
cell_366,0.0,0.0,1.0,0.2221832,0.0
cell_372,0.0,0.0,0.52673827,1.0,0.0
cell_386,0.0,0.0,1.0,0.12773598,0.0
cell_405,0.0,0.0,0.49503643,1.0,0.0
cell_463,0.0,0.0,0.80195902,1.0,0.0
cell_487,0.0,0.0,0.13779365,1.0,0.0
cell_499,0.0,0.0,0.48959647,1.0,0.0
cell_507,0.0,0.0,0.08423939,1.0,0.0
cell_738,0.0,0.0,0.58462282,1.0,0.0
cell_743,0.0,0.0,1.0,0.3207196,0.0
cell_816,0.0,0.0,0.46769826,1.0,0.0
cell_857,0.0,0.0,0.75138886,1.0,0.0
