,rsp,pm,am,al,lm
cell_1,0.0,0.0,0.45005505,0.0,1.0
cell_75,0.0,0.0,1.0,0.0,0.22985694
cell_137,0.0,0.0,1.0,0.0,0.16664628
cell_174,0.0,0.0,0.93761468,0.0,1.0
cell_193,0.0,0.0,1.0,0.0,0.49993885
cell_197,0.0,0.0,0.18258812,0.0,1.0
cell_272,0.0,0.0,0.62507645,0.0,1.0
cell_333,0.0,0.0,0.48220183,0.0,1.0
cell_355,0.0,0.0,1.0,0.0,0.28894974
cell_431,0.0,0.0,1.0,0.0,0.38053649
cell_457,0.0,0.0,0.58657787,0.0,1.0
cell_485,0.0,0.0,1.0,0.0,0.1775837
cell_513,0.0,0.0,0.31284153,0.0,1.0
cell_535,0.0,0.0,0.20856102,0.0,1.0
cell_537,0.0,0.0,1.0,0.0,0.10395143
cell_577,0.0,0.0,1.0,0.0,0.23677826
cell_590,0.0,0.0,0.28155738,0.0,1.0
cell_598,0.0,0.0,0.70389344,0.0,1.0
cell_677,0.0,0.0,0.42367827,0.0,1.0
cell_778,0.0,0.0,0.49933511,0.0,1.0
cell_840,0.0,0.0,1.0,0.0,0.23320941
