,rsp,pm,am,al,lm
cell_0,0.0,0.0,1.0,0.29926716,0.0
cell_12,0.0,0.0,1.0,0.36118451,0.0
cell_26,0.0,0.0,1.0,0.2221832,0.0
cell_32,0.0,0.0,0.52673827,1.0,0.0
cell_46,0.0,0.0,1.0,0.12773598,0.0
cell_65,0.0,0.0,0.49503643,1.0,0.0
cell_123,0.0,0.0,0.80195902,1.0,0.0
cell_147,0.0,0.0,0.13779365,1.0,0.0
cell_159,0.0,0.0,0.48959647,1.0,0.0
cell_167,0.0,0.0,0.08423939,1.0,0.0
