,rsp,pm,am,al,lm
cell_106,1.0,0.26783265,0.13772793,0.0,0.0
cell_121,1.0,0.27805527,0.2952214,0.0,0.0
cell_160,1.0,0.48867711,0.67849128,0.0,0.0
cell_173,1.0,0.93186744,0.21188912,0.0,0.0
