,rsp,pm,am,al,lm
cell_11,0.0,0.0,0.42983812,0.0,1.0
cell_15,0.0,0.0,0.24936602,0.0,1.0
cell_16,0.0,0.0,1.0,0.0,0.58004237
cell_22,0.0,0.0,0.24356681,0.0,1.0
cell_24,0.0,0.0,0.15059752,0.0,1.0
cell_28,0.0,0.0,0.10070551,0.0,1.0
cell_33,0.0,0.0,1.0,0.0,0.06138015
cell_41,0.0,0.0,1.0,0.0,0.47097458
cell_55,0.0,0.0,0.13923459,0.0,1.0
cell_59,0.0,0.0,0.58185404,0.0,1.0
cell_111,0.0,0.0,0.07655974,0.0,1.0
cell_119,0.0,0.0,0.51837906,0.0,1.0
cell_122,0.0,0.0,1.0,0.0,0.17055246
cell_145,0.0,0.0,0.0306239,0.0,1.0
cell_147,0.0,0.0,0.41861897,0.0,1.0
cell_149,0.0,0.0,0.4760624,0.0,1.0
cell_156,0.0,0.0,0.22031367,0.0,1.0
cell_157,0.0,0.0,0.75403534,0.0,1.0
cell_173,0.0,0.0,0.49457594,0.0,1.0
cell_182,0.0,0.0,0.71115494,0.0,1.0
cell_192,0.0,0.0,0.54586307,0.0,1.0
cell_212,0.0,0.0,0.48487837,0.0,1.0
cell_216,0.0,0.0,0.61939301,0.0,1.0
cell_221,0.0,0.0,1.0,0.0,0.78120185
cell_227,0.0,0.0,0.03029175,0.0,1.0
cell_242,0.0,0.0,0.10119201,0.0,1.0
cell_252,0.0,0.0,1.0,0.0,0.25547412
cell_258,0.0,0.0,0.68764569,0.0,1.0
cell_267,0.0,0.0,0.05074309,0.0,1.0
cell_271,0.0,0.0,0.11008049,0.0,1.0
cell_276,0.0,0.0,1.0,0.0,0.7187057
cell_281,0.0,0.0,1.0,0.0,0.53918245
cell_289,0.0,0.0,1.0,0.0,0.46271186
cell_291,0.0,0.0,1.0,0.0,0.31607247
cell_300,0.0,0.0,1.0,0.0,0.66836158
