,rsp,pm,am,al,lm
cell_26,0.0,1.0,0.0,0.0,0.06106883
cell_38,0.0,0.50127443,0.0,0.0,1.0
cell_46,0.0,0.57288506,0.0,0.0,1.0
cell_48,0.0,1.0,0.0,0.0,0.25933898
cell_63,0.0,0.18937034,0.0,0.0,1.0
cell_69,0.0,0.47089416,0.0,0.0,1.0
cell_76,0.0,1.0,0.0,0.0,0.85496368
cell_99,0.0,1.0,0.0,0.0,0.72542373
cell_104,0.0,1.0,0.0,0.0,0.37160186
cell_114,0.0,0.62659303,0.0,0.0,1.0
cell_123,0.0,0.13475119,0.0,0.0,1.0
cell_168,0.0,0.31329652,0.0,0.0,1.0
cell_185,0.0,0.25063721,0.0,0.0,1.0
cell_193,0.0,0.84590059,0.0,0.0,1.0
cell_195,0.0,0.01871979,0.0,0.0,1.0
cell_213,0.0,0.28196686,0.0,0.0,1.0
cell_218,0.0,0.55697158,0.0,0.0,1.0
cell_262,0.0,0.6683659,0.0,0.0,1.0
