Motif,Mean,SEM,N
,0.0,0.0,5
rsp,0.04071586893319952,0.027294433781945675,5
pm,0.05450605639879669,0.010906769279873142,5
am,0.1987292289960038,0.07307191829629273,5
al,0.21136270114095068,0.05870894207691337,5
lm,0.2137878305234832,0.01199765491181295,5
pm+rsp,0.0,0.0,5
am+rsp,0.01812938877765657,0.005536912837875143,5
al+rsp,0.0012688275695866972,0.0010037136915320897,5
lm+rsp,0.01316869614996003,0.006382779885495348,5
am+pm,0.028930479632000072,0.009399226860599005,5
al+pm,0.0,0.0,5
lm+pm,0.01901113896442887,0.0138441818380802,5
al+am,0.027027340330973808,0.003791902142162559,5
am+lm,0.02575851276138711,0.004637239691951636,5
al+lm,0.09486832684008936,0.025042237164472906,5
am+pm+rsp,0.004345950249120415,0.0019318091045334113,5
al+pm+rsp,0.0012688275695866972,0.0010037136915320897,5
lm+pm+rsp,0.0,0.0,5
al+am+rsp,0.0,0.0,5
am+lm+rsp,0.0,0.0,5
al+lm+rsp,0.002089621003239228,0.0009765404872082796,5
al+am+pm,0.0012688275695866972,0.0010037136915320897,5
am+lm+pm,0.004184628195215241,0.002189067737768802,5
al+lm+pm,0.008541420007547408,0.007153868603039623,5
al+am+lm,0.017650808804677832,0.006900300283501421,5
al+am+pm+rsp,0.0008207934336525308,0.0005759380146380543,5
am+lm+pm+rsp,0.008460758980594821,0.007168956506011903,5
al+lm+pm+rsp,0.0,0.0,5
al+am+lm+rsp,0.0016415868673050615,0.0011518760292761087,5
al+am+lm+pm,0.0024623803009575923,0.0017278140439141627,5
al+am+lm+pm+rsp,0.0,0.0,5
