Motif Size,Expected Probability,P-Value
1,0.7507331378299119,0.43601065140366185
2,0.18768328445747803,0.1914636808325311
3,0.04692082111436951,0.8861916759276488
4,0.011730205278592374,0.9443217105291356
5,0.0029325513196480934,0.9453874230985574
