Motif Size,Expected Probability,P-Value
1,0.7507331378299119,0.8751257153964571
2,0.18768328445747803,0.06500569982549613
3,0.04692082111436951,0.7808772669707152
4,0.011730205278592374,0.7652841638068513
5,0.0029325513196480934,0.49997585058739846
