Motif Size,Expected Probability,P-Value
1,0.7529411764705882,7.940326250804965e-09
2,0.18823529411764706,0.9999942503779518
3,0.047058823529411764,0.9989052577083566
4,0.011764705882352938,0.9881795195145849
