Motif Size,Expected Probability,P-Value
1,0.7507331378299119,0.9918718630408743
2,0.18768328445747803,0.43627464851568204
3,0.04692082111436951,0.092260182028414
4,0.011730205278592374,2.5867739685230614e-06
5,0.0029325513196480934,0.07090867634112319
