Motif Size,Expected Probability,P-Value
1,0.7529411764705882,1.195205846639369e-05
2,0.18823529411764708,0.9998121939836982
3,0.04705882352941177,0.9863318366011039
4,0.011764705882352941,0.9073314367134089
