Motif Size,Expected Probability,P-Value
1,0.6841058881704504,1.1156260385053068e-17
2,0.21762985528759787,0.9999823570965287
3,0.06923307448670869,0.9999999996399921
4,0.022024637182926562,0.999450336555324
5,0.007006544872316443,0.9999812724124847
