Motif,Observed,Expected
rsp,1.0,15
pm,13.0,15
am,134.0,15
al,38.0,15
lm,63.0,15
rsp+pm,0.0,3
rsp+am,7.0,3
rsp+al,0.0,3
rsp+lm,1.0,3
pm+am,4.0,3
pm+al,0.0,3
pm+lm,0.0,3
am+al,10.0,3
am+lm,10.0,3
al+lm,11.0,3
rsp+pm+am,3.0,0
rsp+pm+al,0.0,0
rsp+pm+lm,0.0,0
rsp+am+al,0.0,0
rsp+am+lm,0.0,0
rsp+al+lm,0.0,0
pm+am+al,0.0,0
pm+am+lm,1.0,0
pm+al+lm,1.0,0
am+al+lm,2.0,0
rsp+pm+am+al,0.0,0
rsp+pm+am+lm,0.0,0
rsp+pm+al+lm,0.0,0
rsp+am+al+lm,0.0,0
pm+am+al+lm,0.0,0
rsp+pm+am+al+lm,0.0,0
