,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,12.0,,,,,12.0,1.0,8.333333333333332
1,,22.0,,,,22.0,13.0,59.09090909090909
2,,,171.0,,,171.0,134.0,78.3625730994152
3,,,,62.0,,62.0,38.0,61.29032258064516
4,,,,,89.0,89.0,63.0,70.78651685393258
5,12.0,22.0,,,,34.0,0.0,0.0
6,12.0,,171.0,,,183.0,7.0,3.825136612021858
7,12.0,,,62.0,,74.0,0.0,0.0
8,12.0,,,,89.0,101.0,1.0,0.9900990099009901
9,,22.0,171.0,,,193.0,4.0,2.072538860103627
10,,22.0,,62.0,,84.0,0.0,0.0
11,,22.0,,,89.0,111.0,0.0,0.0
12,,,171.0,62.0,,233.0,10.0,4.291845493562231
13,,,171.0,,89.0,260.0,10.0,3.8461538461538463
14,,,,62.0,89.0,151.0,11.0,7.28476821192053
15,12.0,22.0,171.0,,,205.0,3.0,1.4634146341463417
16,12.0,22.0,,62.0,,96.0,0.0,0.0
17,12.0,22.0,,,89.0,123.0,0.0,0.0
18,12.0,,171.0,62.0,,245.0,0.0,0.0
19,12.0,,171.0,,89.0,272.0,0.0,0.0
20,12.0,,,62.0,89.0,163.0,0.0,0.0
21,,22.0,171.0,62.0,,255.0,0.0,0.0
22,,22.0,171.0,,89.0,282.0,1.0,0.3546099290780142
23,,22.0,,62.0,89.0,173.0,1.0,0.5780346820809248
24,,,171.0,62.0,89.0,322.0,2.0,0.6211180124223602
25,12.0,22.0,171.0,62.0,,267.0,0.0,0.0
26,12.0,22.0,171.0,,89.0,294.0,0.0,0.0
27,12.0,22.0,,62.0,89.0,185.0,0.0,0.0
28,12.0,,171.0,62.0,89.0,334.0,0.0,0.0
29,,22.0,171.0,62.0,89.0,344.0,0.0,0.0
30,12.0,22.0,171.0,62.0,89.0,356.0,0.0,0.0
