,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,14.0,,,,,14.0,6.0,42.857142857142854
1,,11.0,,,,11.0,7.0,63.63636363636363
2,,,23.0,,,23.0,14.0,60.86956521739131
3,,,,117.0,,117.0,84.0,71.7948717948718
4,,,,,73.0,73.0,40.0,54.794520547945204
5,14.0,11.0,,,,25.0,0.0,0.0
6,14.0,,23.0,,,37.0,2.0,5.405405405405405
7,14.0,,,117.0,,131.0,1.0,0.7633587786259541
8,14.0,,,,73.0,87.0,3.0,3.4482758620689653
9,,11.0,23.0,,,34.0,1.0,2.941176470588235
10,,11.0,,117.0,,128.0,0.0,0.0
11,,11.0,,,73.0,84.0,1.0,1.1904761904761905
12,,,23.0,117.0,,140.0,3.0,2.142857142857143
13,,,23.0,,73.0,96.0,2.0,2.083333333333333
14,,,,117.0,73.0,190.0,26.0,13.684210526315791
15,14.0,11.0,23.0,,,48.0,0.0,0.0
16,14.0,11.0,,117.0,,142.0,1.0,0.7042253521126761
17,14.0,11.0,,,73.0,98.0,0.0,0.0
18,14.0,,23.0,117.0,,154.0,0.0,0.0
19,14.0,,23.0,,73.0,110.0,0.0,0.0
20,14.0,,,117.0,73.0,204.0,1.0,0.49019607843137253
21,,11.0,23.0,117.0,,151.0,1.0,0.6622516556291391
22,,11.0,23.0,,73.0,107.0,0.0,0.0
23,,11.0,,117.0,73.0,201.0,0.0,0.0
24,,,23.0,117.0,73.0,213.0,0.0,0.0
25,14.0,11.0,23.0,117.0,,165.0,0.0,0.0
26,14.0,11.0,23.0,,73.0,121.0,0.0,0.0
27,14.0,11.0,,117.0,73.0,215.0,0.0,0.0
28,14.0,,23.0,117.0,73.0,227.0,0.0,0.0
29,,11.0,23.0,117.0,73.0,224.0,0.0,0.0
30,14.0,11.0,23.0,117.0,73.0,238.0,0.0,0.0
