,rsp,pm,am,al,lm,Total,Motif Num,Motif Perc
0,12.0,,,,,12.0,2.0,16.666666666666664
1,,66.0,,,,66.0,32.0,48.484848484848484
2,,,125.0,,,125.0,64.0,51.2
3,,,,137.0,,137.0,58.0,42.33576642335766
4,,,,,151.0,151.0,64.0,42.384105960264904
5,12.0,66.0,,,,78.0,0.0,0.0
6,12.0,,125.0,,,137.0,2.0,1.4598540145985401
7,12.0,,,137.0,,149.0,0.0,0.0
8,12.0,,,,151.0,163.0,1.0,0.6134969325153374
9,,66.0,125.0,,,191.0,20.0,10.471204188481675
10,,66.0,,137.0,,203.0,0.0,0.0
11,,66.0,,,151.0,217.0,3.0,1.3824884792626728
12,,,125.0,137.0,,262.0,8.0,3.0534351145038165
13,,,125.0,,151.0,276.0,8.0,2.898550724637681
14,,,,137.0,151.0,288.0,54.0,18.75
15,12.0,66.0,125.0,,,203.0,2.0,0.9852216748768473
16,12.0,66.0,,137.0,,215.0,0.0,0.0
17,12.0,66.0,,,151.0,229.0,0.0,0.0
18,12.0,,125.0,137.0,,274.0,0.0,0.0
19,12.0,,125.0,,151.0,288.0,0.0,0.0
20,12.0,,,137.0,151.0,300.0,1.0,0.33333333333333337
21,,66.0,125.0,137.0,,328.0,0.0,0.0
22,,66.0,125.0,,151.0,342.0,4.0,1.1695906432748537
23,,66.0,,137.0,151.0,354.0,0.0,0.0
24,,,125.0,137.0,151.0,413.0,10.0,2.4213075060532687
25,12.0,66.0,125.0,137.0,,340.0,1.0,0.29411764705882354
26,12.0,66.0,125.0,,151.0,354.0,1.0,0.2824858757062147
27,12.0,66.0,,137.0,151.0,366.0,0.0,0.0
28,12.0,,125.0,137.0,151.0,425.0,2.0,0.4705882352941176
29,,66.0,125.0,137.0,151.0,479.0,3.0,0.6263048016701461
30,12.0,66.0,125.0,137.0,151.0,491.0,0.0,0.0
