Motif,Observed,Expected
rsp,4.0,1
am,1.0,1
pm,1.0,1
al,3.0,1
lm,7.0,1
rsp+am,1.0,0
rsp+pm,0.0,0
rsp+al,0.0,0
rsp+lm,1.0,0
am+pm,1.0,0
am+al,1.0,0
am+lm,1.0,0
pm+al,0.0,0
pm+lm,2.0,0
al+lm,1.0,0
rsp+am+pm,0.0,0
rsp+am+al,0.0,0
rsp+am+lm,0.0,0
rsp+pm+al,0.0,0
rsp+pm+lm,0.0,0
rsp+al+lm,0.0,0
am+pm+al,0.0,0
am+pm+lm,0.0,0
am+al+lm,1.0,0
pm+al+lm,1.0,0
rsp+am+pm+al,0.0,0
rsp+am+pm+lm,1.0,0
rsp+am+al+lm,0.0,0
rsp+pm+al+lm,0.0,0
am+pm+al+lm,0.0,0
rsp+am+pm+al+lm,0.0,0
