,Motif,Observed,Expected
0,,0.0,0
1,rsp,4.0,1
2,am,1.0,1
3,pm,1.0,1
4,al,3.0,1
5,lm,7.0,1
6,rsp+am,1.0,0
7,rsp+pm,0.0,0
8,rsp+al,0.0,0
9,rsp+lm,1.0,0
10,am+pm,1.0,0
11,am+al,1.0,0
12,am+lm,1.0,0
13,pm+al,0.0,0
14,pm+lm,2.0,0
15,al+lm,1.0,0
16,rsp+am+pm,0.0,0
17,rsp+am+al,0.0,0
18,rsp+am+lm,0.0,0
19,rsp+pm+al,0.0,0
20,rsp+pm+lm,0.0,0
21,rsp+al+lm,0.0,0
22,am+pm+al,0.0,0
23,am+pm+lm,0.0,0
24,am+al+lm,1.0,0
25,pm+al+lm,1.0,0
26,rsp+am+pm+al,0.0,0
27,rsp+am+pm+lm,1.0,0
28,rsp+am+al+lm,0.0,0
29,rsp+pm+al+lm,0.0,0
30,am+pm+al+lm,0.0,0
31,rsp+am+pm+al+lm,0.0,0
