,Motif,Observed,Expected
0,,0.0,0
1,rsp,13.0,45
2,pm,53.0,45
3,am,213.0,45
4,al,183.0,45
5,lm,175.0,45
6,rsp+pm,0.0,11
7,rsp+am,12.0,11
8,rsp+al,1.0,11
9,rsp+lm,6.0,11
10,pm+am,26.0,11
11,pm+al,0.0,11
12,pm+lm,6.0,11
13,am+al,22.0,11
14,am+lm,21.0,11
15,al+lm,92.0,11
16,rsp+pm+am,5.0,2
17,rsp+pm+al,1.0,2
18,rsp+pm+lm,0.0,2
19,rsp+am+al,0.0,2
20,rsp+am+lm,0.0,2
21,rsp+al+lm,2.0,2
22,pm+am+al,1.0,2
23,pm+am+lm,5.0,2
24,pm+al+lm,2.0,2
25,am+al+lm,13.0,2
26,rsp+pm+am+al,1.0,0
27,rsp+pm+am+lm,2.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,2.0,0
30,pm+am+al+lm,3.0,0
31,rsp+pm+am+al+lm,0.0,0
