Motifs,Observed,Expected,Expected SD,Effect Size,P-value,Degree,Group
[''],0.0,0,3.8541310639672655,0.0,1.7041212156942888e-07,0,2
['rsp'],1.0,15,3.8541310639672655,-3.059719643630062,3.2028842567084003e-06,1,2
['pm'],13.0,15,3.8541310639672655,-0.2523647215724579,0.6028618095476115,1,4
['am'],134.0,15,3.8541310639672655,3.017095953420769,1e-10,1,1
['al'],38.0,15,3.8541310639672655,1.2256825752321863,6.343507446175757e-07,1,1
['lm'],63.0,15,3.8541310639672655,1.940280356369938,1e-10,1,1
"['rsp', 'pm']",0.0,3,1.9666430767019831,-2.298380540706564,0.03767012312838225,2,4
"['rsp', 'am']",7.0,3,1.9666430767019831,0.7016194592934364,0.12038889391735538,2,3
"['rsp', 'al']",0.0,3,1.9666430767019831,-2.298380540706564,0.03767012312838225,2,4
"['rsp', 'lm']",1.0,3,1.9666430767019831,-1.2983805407065636,0.19723737959688453,2,4
"['pm', 'am']",4.0,3,1.9666430767019831,0.02354755418079878,0.8000429741096515,2,3
"['pm', 'al']",0.0,3,1.9666430767019831,-2.298380540706564,0.03767012312838225,2,4
"['pm', 'lm']",0.0,3,1.9666430767019831,-2.298380540706564,0.03767012312838225,2,4
"['am', 'al']",10.0,3,1.9666430767019831,1.1610510779307335,0.0067205723367192325,2,3
"['am', 'lm']",10.0,3,1.9666430767019831,1.1610510779307335,0.0067205723367192325,2,3
"['al', 'lm']",11.0,3,1.9666430767019831,1.2865819600145925,0.00225366418676936,2,3
"['rsp', 'pm', 'am']",3.0,0,0.9882068163832106,1.01467212051133,0.07631488680098822,3,3
"['rsp', 'pm', 'al']",0.0,0,0.9882068163832106,-0.9853278794886701,1.0,3,4
"['rsp', 'pm', 'lm']",0.0,0,0.9882068163832106,-0.9853278794886701,1.0,3,4
"['rsp', 'am', 'al']",0.0,0,0.9882068163832106,-0.9853278794886701,1.0,3,4
"['rsp', 'am', 'lm']",0.0,0,0.9882068163832106,-0.9853278794886701,1.0,3,4
"['rsp', 'al', 'lm']",0.0,0,0.9882068163832106,-0.9853278794886701,1.0,3,4
"['pm', 'am', 'al']",0.0,0,0.9882068163832106,-0.9853278794886701,1.0,3,4
"['pm', 'am', 'lm']",1.0,0,0.9882068163832106,0.014672120511329935,0.6252034596724445,3,3
"['pm', 'al', 'lm']",1.0,0,0.9882068163832106,0.014672120511329935,0.6252034596724445,3,3
"['am', 'al', 'lm']",2.0,0,0.9882068163832106,0.5996346212324862,0.25678436628698387,3,3
"['rsp', 'pm', 'am', 'al']",0.0,0,0.4947121834932309,-0.3160771402234303,1.0,4,4
"['rsp', 'pm', 'am', 'lm']",0.0,0,0.4947121834932309,-0.3160771402234303,1.0,4,4
"['rsp', 'pm', 'al', 'lm']",0.0,0,0.4947121834932309,-0.3160771402234303,1.0,4,4
"['rsp', 'am', 'al', 'lm']",0.0,0,0.4947121834932309,-0.3160771402234303,1.0,4,4
"['pm', 'am', 'al', 'lm']",0.0,0,0.4947121834932309,-0.3160771402234303,1.0,4,4
"['rsp', 'pm', 'am', 'al', 'lm']",0.0,0,0.2474321301509568,-0.08574443407467071,1.0,5,4
