,Motif,Observed,Expected
0,,0.0,0
1,rsp,6.0,7
2,pm,7.0,7
3,am,14.0,7
4,al,84.0,7
5,lm,40.0,7
6,rsp+pm,0.0,2
7,rsp+am,2.0,2
8,rsp+al,1.0,2
9,rsp+lm,3.0,2
10,pm+am,1.0,2
11,pm+al,0.0,2
12,pm+lm,1.0,2
13,am+al,3.0,2
14,am+lm,2.0,2
15,al+lm,26.0,2
16,rsp+pm+am,0.0,1
17,rsp+pm+al,1.0,1
18,rsp+pm+lm,0.0,1
19,rsp+am+al,0.0,1
20,rsp+am+lm,0.0,1
21,rsp+al+lm,1.0,1
22,pm+am+al,1.0,1
23,pm+am+lm,0.0,1
24,pm+al+lm,0.0,1
25,am+al+lm,0.0,1
26,rsp+pm+am+al,0.0,0
27,rsp+pm+am+lm,0.0,0
28,rsp+pm+al+lm,0.0,0
29,rsp+am+al+lm,0.0,0
30,pm+am+al+lm,0.0,0
31,rsp+pm+am+al+lm,0.0,0
